playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8471817,2022,Ryan Reaves,MIN,R,other,73,321,4,5.15,0.43,0.62,0.17,0.5,0.22,0.52,91,0.53,0.43,0.02,0.02,0.02,0.26,0.25,0.43,0.43,0.43,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.43,0,0,0,1,1,1,0,0.01,0,0,0.43,0.43,0.43,4,0,1,1,2,0,2,1,1,0,0,2273,0,0,0,1,0.99,0.96,0.94,0.96,0.94,0,2,0,2,0,0,0,0,0,2,0,0,0.96,0,0,0,2,2,2,0.01,0,0,0.97,0.97,0.95,5.34,1.28,0.85,1.28,0.85,4,3,3,10,1,2,1,5,0,2,0.18,0,1.1,0,0,1,10,7,7,0.11,1.1,1.1,0.29,0.29,0.26,7.92,4.87,55,54,0,0,0,0,0,0
8471817,2022,Ryan Reaves,MIN,R,all,73,40825,889,8.58,0.45,0.52,0.45,0.52,0.46,0.53,814,49.47,6.7,3.8,11.2,1.72,26.57,19.02,6.55,6.77,6.62,5,5,48,21,10,79,15,5,5,1,7,1,24,27,43,64,11,43,4,196,15,16,33,29,7,1.16,3.58,1.96,0,4,1,80.3,69,69.7,10,0.8,1.15,1.9,5.6,5.68,5.59,889,70,91,141,587,138,140,98,513,4,11,227036,43,47,13,24,296.11,23.65,23.03,24.21,23.56,284,128,141,553,21,31,4,315,73,24,8.2,8.97,6.48,9,9,3,563.26,412,419.19,3.8,5.42,5.42,22.03,22.47,22.19,355.87,28.59,26.9,28.46,26.76,353,138,188,679,27,28,5,376,98,17,10.94,11.83,5.82,12,10,5,674.73,491,489.13,4.67,6.2,6.2,27.06,26.92,26.43,211.16,193.11,3831,3547,0,0,0,0,0,0
8471817,2022,Ryan Reaves,MIN,R,5on5,73,40382,877,8.58,0.46,0.52,0.45,0.51,0.46,0.53,731,48.95,6.27,3.77,11.18,1.7,26.3,18.77,6.12,6.34,6.19,5,5,48,20,10,78,15,5,5,1,7,1,23,27,43,63,10,38,4,196,15,16,33,29,6,1.16,3.58,1.54,0,4,1,79.3,68,68.7,10,0.79,1.15,1.9,5.17,5.24,5.15,877,70,90,139,578,138,137,95,507,4,11,175417,38,42,12,23,295.12,22.69,22.08,23.25,22.62,284,126,140,550,21,31,4,315,73,22,8.2,8.97,5.52,9,9,3,560.26,410,417.19,3.79,5.42,5.42,21.06,21.5,21.24,349.32,27.09,25.83,26.97,25.69,347,135,185,667,25,26,4,371,96,15,10.76,11.61,4.72,12,9,4,662.73,482,480.13,4.55,5.1,5.1,26.54,26.4,25.93,127.62,119.87,2796,2639,0.75,1.68,14,21,9,17
8471817,2022,Ryan Reaves,MIN,R,4on5,73,24,2,0.1,0,0.08,0,0.13,0,0.16,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.1,0.1,0.1,0.1,1,0,0,1,0,0,0,0,1,0,0,0.1,0,0,0,0,1,1,1,0.01,0,0,0.1,0.1,0.1,0.15,1.78,4,26,0,0,0,0,0,0
8471817,2022,Ryan Reaves,MIN,R,5on4,73,98,6,1.7,0,0.94,0.5,0.91,0,0.91,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,5,0,1,2,3,0,0,1632,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.51,0.12,0.12,0.12,0.12,1,0,0,1,1,0,0,0,1,0,0,0.12,0,0,1,0,1,1,1,0.01,0,0,0.13,0.13,0.13,4.4,0.29,53,5,0,0,0,0,0,0
8480950,2022,Ilya Lyubushkin,BUF,D,other,68,960,21,7.27,0.63,0.49,0.26,0.46,0.24,0.44,91,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,10,0,11,0,3,5,13,0,0,3042,0,0,0,3,6.01,3.44,3.35,3.44,3.35,6,3,3,12,4,1,0,2,1,6,0.06,0.15,3.23,0,1,3,12,9,9,0.08,0.27,0.27,3.25,3.25,3.17,20.06,2.01,1.9,2.01,1.9,21,8,6,35,5,1,0,18,11,0,0.8,1.2,0,2,3,0,35,29,29,0.54,0.02,0.02,2.52,2.52,2.39,10.31,10.64,71,83,0,0,0,0,0,0
8480950,2022,Ilya Lyubushkin,BUF,D,all,68,61236,1469,11.77,0.39,0.51,0.42,0.54,0.41,0.52,329,37.1,1.36,1.83,10.21,1.18,20.47,16.93,1.34,1.34,1.31,6,6,41,11,26,78,14,2,0,0,8,1,18,23,39,50,19,38,0,99,27,20,50,2,0,1.09,0.28,0,1,1,0,76.52,52,51.2,15,0.37,0,0.02,1.71,1.68,1.64,1469,105,261,220,883,214,192,174,889,0,0,186545,38,20,10,104,439.44,43.27,41.36,42.95,41.09,435,162,209,806,39,50,5,435,118,44,14.19,15.18,13.9,12,17,10,803.86,597,593.6,5.88,10.4,10.59,38.56,38.44,37.92,632.93,66.69,63.72,66.8,63.84,635,228,240,1103,72,73,13,594,195,74,16.88,23.74,26.07,17,23,32,1104.67,863,864.75,10.65,15.01,14.72,62.63,62.82,60.81,184.65,174.72,3144,2725,0,0,0,0,0,0
8480950,2022,Ilya Lyubushkin,BUF,D,5on5,68,52172,1252,11.77,0.46,0.49,0.48,0.52,0.47,0.51,340,35.67,1.18,1.77,10.04,1.14,20.06,15.81,1.15,1.16,1.13,4,6,39,11,26,76,11,1,0,0,8,1,17,23,38,49,17,34,0,83,21,18,49,1,0,1.07,0.11,0,1,0,0,74.52,50,49.2,13,0.35,0,0.02,1.51,1.48,1.45,1252,102,155,204,791,205,155,145,747,0,0,152004,34,16,8,82,407.6,36.63,34.91,36.31,34.63,399,156,201,756,31,46,4,415,105,35,13.56,13.28,9.79,12,13,6,753.86,555,551.6,5.49,9.3,9.5,32.62,32.51,32.08,457.06,43.39,41.62,43.5,41.74,461,161,196,818,38,55,9,433,145,44,12.96,17.94,12.5,13,15,10,819.67,622,623.75,6.38,12.01,11.72,38.05,38.24,37.44,118.88,123.81,2425,2233,5.37,0.39,113,12,89,9
8480950,2022,Ilya Lyubushkin,BUF,D,4on5,68,8020,192,10.3,0.13,0.18,0.13,0.18,0.13,0.2,127,0.67,0.01,0.02,0.1,0.02,0.23,0.62,0.01,0.01,0.01,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,2,4,0,13,6,2,1,0,0,0.01,0,0,0,0,0,1,1,1,2,0,0,0,0.02,0.02,0.02,192,1,96,16,79,9,34,24,125,0,0,7633,4,0,0,0,24.39,2.96,2.87,2.96,2.87,29,2,5,36,3,3,1,17,11,3,0.51,1.57,0.88,0,2,1,36,31,31,0.28,0.82,0.82,2.42,2.42,2.41,149.88,20.34,19.44,20.34,19.44,147,57,36,240,28,17,4,139,36,29,3.07,4.25,13.01,2,5,21,240,204,204,3.61,2.98,2.98,20.97,20.97,20.11,3.28,15.37,47,215,0.91,0,11,1,9,0
8480950,2022,Ilya Lyubushkin,BUF,D,5on4,68,84,4,-1.62,0,0.79,0,0.84,0,0.81,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,2,0,0,0,4,0,0,1995,0,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,0.01,0.01,0.01,0.01,1,0,0,1,0,0,0,1,0,0,0.01,0,0,0,0,0,1,1,1,0,0,0,0.01,0.01,0.01,4.31,1.16,59,11,0,0,0,0,0,0
8475625,2022,Matt Irwin,WSH,D,other,61,141,3,3.85,0.84,0.62,0.25,0.5,0.33,0.52,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,2,1,0,0,1787,0,0,0,0,0.55,0.55,0.55,0.55,0.55,1,0,0,1,1,0,0,0,0,1,0,0,0.55,0,0,1,1,1,1,0,0,0,0.55,0.55,0.55,1.42,0.1,0.1,0.1,0.1,1,1,1,3,0,0,0,2,0,0,0.1,0,0,0,0,0,3,2,2,0.03,0,0,0.14,0.14,0.14,6.45,4.04,38,38,0,0,0,0,0,0
