playerId,season,name,position,situation,games_played,icetime,onIce_xGoalsPercentage,onIce_corsiPercentage,onIce_fenwickPercentage,I_F_xGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotAttempts,I_F_points,I_F_goals,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_oZoneShiftStarts,penalityMinutes
8470794,2020,Joe Pavelski,C,other,56,2693,0.47,0.72,0.74,1.99,4,1,23,8,3,4,0,0,8,2
8470794,2020,Joe Pavelski,C,all,56,63932,0.62,0.61,0.61,18.1,14,12,242,51,25,64,17,20,321,16
8470794,2020,Joe Pavelski,C,5on5,56,49158,0.6,0.57,0.57,9.31,5,8,155,25,12,56,16,17,214,6
8470794,2020,Joe Pavelski,C,4on5,56,2270,0.08,0.15,0.13,0.16,0,0,5,0,0,3,0,1,2,2
8470794,2020,Joe Pavelski,C,5on4,56,9811,0.94,0.89,0.88,6.62,5,3,58,18,10,1,1,2,97,4
8479514,2020,Rem Pitlick,C,other,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8479514,2020,Rem Pitlick,C,all,10,6782,0.58,0.56,0.6,0.77,2,0,13,2,0,8,0,3,15,4
8479514,2020,Rem Pitlick,C,5on5,10,6300,0.57,0.54,0.58,0.76,2,0,12,2,0,8,0,3,11,4
8479514,2020,Rem Pitlick,C,4on5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8479514,2020,Rem Pitlick,C,5on4,10,473,0.82,0.86,0.86,0.01,0,0,1,0,0,0,0,0,4,0
8477948,2020,Travis Sanheim,D,other,55,2041,0.5,0.53,0.51,0.35,0,1,6,1,0,2,2,2,8,0
8477948,2020,Travis Sanheim,D,all,55,72204,0.48,0.51,0.51,5.7,5,7,195,14,2,48,17,40,145,23
8477948,2020,Travis Sanheim,D,5on5,55,61754,0.53,0.54,0.54,4.23,5,6,175,12,1,40,12,32,123,17
8477948,2020,Travis Sanheim,D,4on5,55,6661,0.16,0.18,0.22,0.2,0,0,4,0,0,5,1,5,4,0
8477948,2020,Travis Sanheim,D,5on4,55,1748,0.59,0.77,0.77,0.43,0,0,6,0,0,1,1,1,10,4
8480950,2020,Ilya Lyubushkin,D,other,42,559,0.34,0.38,0.4,0,0,0,0,0,0,1,0,0,1,0
8480950,2020,Ilya Lyubushkin,D,all,42,39527,0.45,0.46,0.46,0.94,1,0,72,2,1,103,8,13,80,10
8480950,2020,Ilya Lyubushkin,D,5on5,42,38666,0.45,0.46,0.46,0.94,1,0,72,2,1,100,8,13,77,10
8480950,2020,Ilya Lyubushkin,D,4on5,42,256,0,0,0,0,0,0,0,0,0,2,0,0,0,0
8480950,2020,Ilya Lyubushkin,D,5on4,42,46,0,0,0,0,0,0,0,0,0,0,0,0,2,0
8470144,2020,Frans Nielsen,C,other,29,517,0.25,0.36,0.5,0.12,0,0,1,0,0,0,0,0,1,0
8470144,2020,Frans Nielsen,C,all,29,21035,0.37,0.4,0.41,2.5,3,2,37,6,1,23,7,4,53,0
8470144,2020,Frans Nielsen,C,5on5,29,17661,0.49,0.44,0.46,2.37,3,2,34,6,1,23,5,4,47,0
8470144,2020,Frans Nielsen,C,4on5,29,2679,0.02,0.09,0.09,0.01,0,0,2,0,0,0,2,0,2,0
8470144,2020,Frans Nielsen,C,5on4,29,178,1,1,1,0,0,0,0,0,0,0,0,0,3,0
8475163,2020,Alex Chiasson,R,other,45,805,0.99,0.97,0.97,0.53,0,0,3,0,0,0,0,0,5,0
8475163,2020,Alex Chiasson,R,all,45,33707,0.66,0.58,0.59,10.05,3,4,99,16,9,40,13,10,147,21
8475163,2020,Alex Chiasson,R,5on5,45,25194,0.4,0.43,0.43,3.65,2,3,59,9,4,40,13,10,55,21
8475163,2020,Alex Chiasson,R,4on5,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8475163,2020,Alex Chiasson,R,5on4,45,7708,0.91,0.89,0.89,5.88,1,1,37,7,5,0,0,0,87,0
8480802,2020,Ryan McLeod,C,other,10,155,0.85,0.6,0.6,0,0,0,0,0,0,0,0,0,1,0
8480802,2020,Ryan McLeod,C,all,10,7673,0.55,0.5,0.49,0.28,1,0,12,1,0,3,1,6,18,0
8480802,2020,Ryan McLeod,C,5on5,10,6511,0.53,0.5,0.5,0.28,1,0,11,1,0,3,1,6,16,0
8480802,2020,Ryan McLeod,C,4on5,10,654,0.25,0.07,0.09,0,0,0,0,0,0,0,0,0,0,0
8480802,2020,Ryan McLeod,C,5on4,10,353,1,0.91,1,0,0,0,1,0,0,0,0,0,1,0
8482654,2020,Jackson Cates,C,other,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482654,2020,Jackson Cates,C,all,4,2544,0.59,0.46,0.45,0.97,1,0,8,1,0,0,1,1,3,0
8482654,2020,Jackson Cates,C,5on5,4,2507,0.59,0.46,0.44,0.97,1,0,8,1,0,0,1,1,3,0
8482654,2020,Jackson Cates,C,4on5,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482654,2020,Jackson Cates,C,5on4,4,12,1,1,1,0,0,0,0,0,0,0,0,0,0,0
8475842,2020,Sam Carrick,C,other,13,438,1,0.67,1,0.02,0,1,1,1,0,0,0,0,2,0
8475842,2020,Sam Carrick,C,all,13,10079,0.5,0.5,0.48,1.72,2,2,35,6,2,29,2,6,28,18
8475842,2020,Sam Carrick,C,5on5,13,8970,0.43,0.48,0.45,1.42,2,0,31,4,2,28,2,6,22,16
8475842,2020,Sam Carrick,C,4on5,13,114,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8475842,2020,Sam Carrick,C,5on4,13,557,1,0.94,1,0.29,0,1,3,1,0,0,0,0,4,2
8475760,2020,Nick Bjugstad,C,other,44,710,0.48,0.26,0.24,0.13,0,1,3,2,1,1,0,1,1,0
8475760,2020,Nick Bjugstad,C,all,44,31181,0.58,0.49,0.52,7.71,7,4,117,17,6,48,12,10,100,17
8475760,2020,Nick Bjugstad,C,5on5,44,27837,0.55,0.46,0.49,6.72,7,2,99,14,5,47,12,8,69,15
8475760,2020,Nick Bjugstad,C,4on5,44,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8475760,2020,Nick Bjugstad,C,5on4,44,2507,0.96,0.89,0.89,0.75,0,1,14,1,0,0,0,1,30,2
8475168,2020,Matt Duchene,C,other,34,1285,0.41,0.61,0.6,1.06,0,0,5,2,2,2,1,0,5,0
8475168,2020,Matt Duchene,C,all,34,32272,0.56,0.59,0.59,8.75,5,2,125,13,6,30,13,15,125,6
8475168,2020,Matt Duchene,C,5on5,34,26273,0.52,0.54,0.54,6.17,4,1,99,9,4,28,11,13,87,4
8475168,2020,Matt Duchene,C,4on5,34,39,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8475168,2020,Matt Duchene,C,5on4,34,4675,0.92,0.89,0.88,1.45,1,1,20,2,0,0,0,2,33,2
8475166,2020,John Tavares,C,other,56,3688,0.67,0.71,0.72,4.65,4,3,27,10,3,4,1,2,13,2
8475166,2020,John Tavares,C,all,56,61140,0.63,0.58,0.58,23.22,18,13,278,50,19,51,32,55,219,14
8475166,2020,John Tavares,C,5on5,56,49377,0.56,0.51,0.51,13.38,11,8,189,30,11,43,30,48,137,12
8475166,2020,John Tavares,C,4on5,56,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8475166,2020,John Tavares,C,5on4,56,7967,0.84,0.83,0.81,5.17,3,2,61,10,5,4,1,5,69,0
8480186,2020,Alexander Volkov,R,other,37,701,0,0,0,0,0,0,0,0,0,0,0,0,0,0
