,playerId,season,name,team,position,situation,games_played,minutes/game,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,penalties,I_F_penalityMinutes,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_unblockedShotAttempts,Line_or_Pair
531,8483808,2022,Andrei Kuzmenko,VAN,L,all,81,16.24,155.2,23.96,13.52,14,21,276,74,39,17,3,4,8,13,32,29,113,69,28,4.21,8.71,11.03,6,19,14,210,2nd line
532,8480355,2022,Mark Kastelic,OTT,C,all,65,8.89,71.92,8.33,5.86,2,2,119,11,7,6,1,19,62,154,19,15,62,27,11,2.11,3.32,2.9,2,3,2,100,3rd line
533,8478873,2022,Troy Terry,ANA,R,all,70,19.37,211.16,25.34,16.14,22,16,352,61,23,27,1,11,22,12,43,27,179,82,22,6.92,10.36,8.06,7,12,4,283,1st line
534,8475166,2022,John Tavares,TOR,C,all,80,17.66,296.53,45.11,27.16,27,17,464,80,36,40,4,17,34,112,46,54,204,124,64,6.99,15.9,22.23,3,16,17,392,1st line
535,8476468,2022,J.T. Miller,VAN,C,all,81,20.68,222.56,24.64,16.09,37,13,404,82,32,20,4,24,60,200,58,46,224,62,25,6.97,7.4,10.27,11,5,16,311,1st line
536,8477498,2022,Darnell Nurse,EDM,D,all,82,23.5,190.42,9.11,11.02,15,16,401,43,12,13,0,28,64,146,41,76,250,19,3,5.87,2.41,0.83,7,4,1,272,1st pair
537,8480252,2022,Cole Guttman,CHI,C,all,14,14.56,22.55,2.85,1.57,2,0,42,6,4,2,2,1,2,4,12,11,23,3,4,0.75,0.32,1.78,1,0,3,30,2nd line
538,8478427,2022,Sebastian Aho,CAR,C,all,75,19.5,226.23,32.97,17.88,24,7,377,67,36,28,2,21,42,59,63,63,168,107,36,5.93,13.35,13.69,7,17,12,311,1st line
539,8478502,2022,Dennis Gilbert,CGY,D,all,23,11.74,15.16,0.37,0.72,1,2,36,4,1,1,0,6,27,55,3,8,22,0,0,0.37,0.0,0.0,1,0,0,22,3rd pair
540,8480884,2022,Calen Addison,MIN,D,all,62,16.12,70.94,2.6,4.8,13,13,155,29,3,2,0,11,22,19,11,21,100,6,0,1.89,0.72,0.0,3,0,0,106,3rd pair
541,8482222,2022,Alexander Barabanov,SJS,L,all,68,18.05,122.07,18.32,10.18,21,11,217,47,15,20,7,10,20,40,28,35,82,64,22,2.8,8.17,7.35,2,5,8,168,1st line
542,8478468,2022,Jeremy Lauzon,NSH,D,all,67,16.84,76.47,4.13,4.56,2,7,162,12,3,5,1,26,66,250,3,23,103,7,2,2.52,0.83,0.78,2,0,1,112,3rd pair
543,8479385,2022,Jordan Kyrou,STL,C,all,79,18.0,264.9,25.9,17.41,24,12,470,73,37,7,3,12,22,14,54,55,268,71,20,8.75,8.57,8.58,14,14,9,359,1st line
544,8478498,2022,Jake DeBrusk,BOS,L,all,64,16.78,190.38,23.93,15.76,16,7,298,50,27,23,5,8,16,85,28,18,136,84,25,4.74,11.06,8.14,6,12,9,245,1st line
545,8474618,2022,Marco Scandella,STL,D,all,20,17.84,13.45,0.42,0.74,1,0,41,2,1,0,0,3,6,27,7,10,19,0,0,0.42,0.0,0.0,1,0,0,19,2nd pair
546,8482475,2022,Yegor Chinakhov,CBJ,R,all,30,13.25,51.15,3.66,3.22,4,5,91,13,4,4,0,4,10,27,21,10,57,12,2,1.63,1.55,0.48,1,3,0,71,3rd line
547,8480039,2022,Martin Necas,CAR,C,all,82,18.41,255.51,26.9,17.14,32,11,438,71,28,19,7,16,32,57,45,65,254,66,29,8.44,7.74,10.72,9,6,13,349,1st line
548,8479372,2022,Josh Mahura,FLA,D,all,82,14.04,82.84,3.7,4.61,8,4,197,16,4,3,3,14,28,101,12,25,113,4,2,2.59,0.45,0.66,2,0,2,119,3rd pair
549,8477433,2022,Ben Harpur,NYR,D,all,42,14.06,33.05,0.85,1.61,0,5,77,6,1,1,0,7,20,63,13,23,46,1,0,0.76,0.08,0.0,1,0,0,47,3rd pair
550,8476880,2022,Tom Wilson,WSH,R,all,33,17.62,82.05,10.48,5.93,6,3,141,22,13,14,1,23,58,97,13,10,66,30,14,1.89,3.53,5.06,1,8,4,110,1st line
551,8474679,2022,Gustav Nyquist,MIN,C,all,51,17.62,103.04,13.69,7.44,10,6,164,27,11,6,2,8,16,41,31,19,76,41,16,2.45,5.23,6.02,3,4,4,133,1st line
552,8476624,2022,Barclay Goodrow,NYR,C,all,82,14.17,90.53,10.72,6.61,12,8,158,31,11,8,1,20,58,122,30,33,73,41,9,2.49,5.07,3.16,1,7,3,123,2nd line
553,8480849,2022,Barrett Hayton,ARI,C,all,82,17.5,174.76,21.87,14.24,14,10,279,43,19,15,4,20,42,83,35,41,130,80,25,4.78,9.99,7.09,5,8,6,235,1st line
554,8474565,2022,Alex Pietrangelo,VGK,D,all,73,23.98,159.83,9.49,10.21,19,24,335,54,11,16,2,8,16,65,56,52,219,10,7,5.04,1.19,3.26,7,3,1,236,1st pair
555,8483565,2022,Nick Blankenburg,CBJ,D,all,36,19.17,50.6,2.82,3.22,5,5,104,14,4,1,0,8,16,61,12,13,65,4,2,1.63,0.57,0.62,2,1,1,71,2nd pair
556,8482834,2022,Jesper Froden,SEA,R,all,14,10.0,14.62,2.14,0.88,2,2,20,4,0,1,0,3,6,11,7,5,11,7,2,0.43,0.81,0.9,0,0,0,20,3rd line
557,8478028,2022,Fredrik Olofsson,DAL,L,all,28,10.21,31.88,3.73,2.36,3,0,58,4,1,4,0,1,2,32,7,4,29,11,5,0.98,1.4,1.35,0,1,0,45,3rd line
558,8475690,2022,Chris Tanev,CGY,D,all,65,20.12,69.87,1.69,3.21,5,7,163,13,1,8,0,10,21,51,24,34,97,2,0,1.52,0.17,0.0,1,0,0,99,1st pair
559,8479345,2022,Jakob Chychrun,OTT,D,all,48,22.7,144.4,11.51,8.82,7,17,281,33,9,10,1,15,30,55,18,46,175,21,9,4.81,2.29,4.41,3,3,3,205,1st pair
560,8477956,2022,David Pastrnak,BOS,R,all,82,19.56,397.45,45.36,28.79,31,21,728,113,61,36,3,18,38,91,52,109,373,125,44,12.25,15.39,17.71,27,15,19,542,1st line
561,8477949,2022,Alex Tuch,BUF,R,all,74,19.15,225.38,28.9,14.85,29,14,363,79,36,21,3,10,20,54,64,38,216,58,33,7.31,6.89,14.69,10,11,15,307,1st line
562,8478466,2022,Daniel Sprong,SEA,R,all,66,11.42,152.6,13.66,10.37,19,6,280,46,21,16,1,7,14,33,21,21,165,34,12,4.86,4.48,4.32,9,4,8,211,3rd line
563,8479318,2022,Auston Matthews,TOR,C,all,74,20.28,335.05,38.49,26.85,29,16,568,85,40,38,4,10,20,78,68,55,288,127,38,10.78,15.23,12.49,21,9,10,453,1st line
564,8480935,2022,Lawrence Pilut,BUF,D,all,17,12.8,12.27,0.34,0.64,0,2,22,3,1,0,0,0,0,6,3,5,17,1,0,0.26,0.08,0.0,1,0,0,18,3rd pair
565,8476905,2022,Chandler Stephenson,VGK,C,all,81,19.02,124.49,19.0,9.85,28,21,203,65,16,14,3,9,26,74,64,30,94,50,21,3.41,6.62,8.97,2,6,8,165,1st line
566,8481582,2022,Nicholas Robertson,TOR,L,all,15,10.88,26.01,2.41,1.91,0,3,48,5,2,1,0,0,0,18,7,5,28,6,2,1.06,0.86,0.48,0,2,0,36,3rd line
567,8474613,2022,Derek Stepan,CAR,C,all,73,9.08,104.9,8.39,6.55,5,1,178,11,5,13,0,4,8,29,24,10,105,32,7,2.73,3.86,1.8,3,2,0,144,3rd line
568,8477573,2022,Nathan Walker,STL,L,all,56,10.28,43.06,4.32,2.75,4,4,78,10,2,4,0,8,25,82,8,6,36,18,5,1.02,1.98,1.32,1,1,0,59,3rd line
569,8479983,2022,Mario Ferraro,SJS,D,all,72,21.6,67.57,5.93,4.33,1,6,147,11,4,4,0,12,24,129,42,27,79,8,8,1.82,1.06,3.05,2,0,2,95,1st pair
570,8475169,2022,Evander Kane,EDM,L,all,41,18.7,139.39,15.79,9.6,6,6,258,28,16,15,0,25,53,124,14,32,121,56,13,4.37,6.91,4.51,5,8,3,190,1st line
571,8479369,2022,Andrew Peeke,CBJ,D,all,80,21.25,88.03,3.34,4.6,2,5,188,13,6,7,0,11,22,180,24,31,121,4,1,2.38,0.36,0.6,5,1,0,126,1st pair
572,8477482,2022,Zach Sanford,NSH,L,all,16,13.49,23.27,2.73,1.91,1,0,41,3,2,0,1,2,4,21,5,9,18,10,3,0.8,1.14,0.79,1,0,1,31,3rd line
573,8480833,2022,Vitali Kravtsov,VAN,R,all,44,11.21,46.64,5.43,3.71,2,2,83,8,4,2,0,5,10,28,12,7,42,16,6,1.7,2.09,1.65,2,1,1,64,3rd line
574,8480073,2022,Erik Brannstrom,OTT,D,all,74,16.11,75.11,4.13,4.55,6,10,200,18,2,7,0,19,38,49,28,48,100,9,1,2.41,1.05,0.67,2,0,0,110,3rd pair
575,8478434,2022,Keegan Kolesar,VGK,R,all,74,11.47,65.41,7.85,5.38,10,0,113,18,8,7,0,20,58,279,14,16,45,37,5,1.46,4.83,1.56,1,7,0,87,3rd line
576,8480468,2022,James Hamblin,EDM,L,all,10,8.86,11.32,1.39,0.76,0,0,16,0,0,1,0,1,2,2,2,1,9,4,2,0.28,0.57,0.54,0,0,0,15,3rd line
577,8474870,2022,Tyler Johnson,CHI,C,all,59,16.28,134.53,18.06,9.62,13,7,226,32,12,10,4,9,18,54,34,22,118,38,25,3.98,4.73,9.36,2,2,8,181,2nd line
578,8480015,2022,Owen Tippett,PHI,R,all,77,17.43,234.52,24.25,16.3,11,11,414,49,27,20,2,8,16,125,44,25,230,61,24,7.26,7.88,9.09,11,8,8,315,1st line
579,8480880,2022,Jakub Lauko,BOS,C,all,23,8.86,19.31,2.56,1.27,3,0,33,7,4,2,2,4,11,44,7,6,16,5,4,0.6,0.62,1.34,1,1,2,25,3rd line
