playerId,season,name,position,situation,games_played,icetime,onIce_xGoalsPercentage,onIce_corsiPercentage,onIce_fenwickPercentage,I_F_xGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotAttempts,I_F_points,I_F_goals,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_oZoneShiftStarts,penalityMinutes
8478474,2018,Lawson Crouse,L,other,81,1461,0.61,0.36,0.41,0.7,2,0,5,3,1,5,1,0,4,0
8478474,2018,Lawson Crouse,L,all,81,63012,0.46,0.43,0.45,12.66,11,3,214,25,11,288,25,23,158,47
8478474,2018,Lawson Crouse,L,5on5,81,55159,0.49,0.45,0.47,10.88,9,3,195,20,8,280,23,22,145,43
8478474,2018,Lawson Crouse,L,4on5,81,6029,0.2,0.18,0.21,0.83,0,0,10,2,2,2,1,1,3,2
8478474,2018,Lawson Crouse,L,5on4,81,363,0.74,0.75,0.67,0.25,0,0,4,0,0,1,0,0,6,2
8480950,2018,Ilya Lyubushkin,D,other,41,642,0.63,0.67,0.6,0,0,0,0,0,0,1,0,0,0,0
8480950,2018,Ilya Lyubushkin,D,all,41,33673,0.48,0.46,0.47,1.29,3,1,64,4,0,149,6,21,66,13
8480950,2018,Ilya Lyubushkin,D,5on5,41,32371,0.48,0.46,0.47,1.29,3,1,64,4,0,145,6,21,66,13
8480950,2018,Ilya Lyubushkin,D,4on5,41,595,0.39,0.3,0.36,0,0,0,0,0,0,3,0,0,0,0
8480950,2018,Ilya Lyubushkin,D,5on4,41,65,1,1,1,0,0,0,0,0,0,0,0,0,0,0
8480955,2018,Bogdan Kiselevich,D,other,32,609,0.45,0.33,0.33,0,0,0,0,0,0,0,0,0,1,0
8480955,2018,Bogdan Kiselevich,D,all,32,28512,0.51,0.51,0.51,0.51,6,2,42,8,0,49,4,9,79,12
8480955,2018,Bogdan Kiselevich,D,5on5,32,26360,0.52,0.52,0.52,0.51,6,2,41,8,0,47,4,9,77,12
