,position,games_played,minutes/game,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,penalties,I_F_penalityMinutes,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_unblockedShotAttempts,Line_or_Pair
348,C,81,17.13,144.81,17.84,10.08,17,17,244,48,14,12,3,26,66,118,65,27,126,54,20,4.4,6.96,6.47,4,6,4,200,1st line
349,L,39,12.22,44.01,4.43,2.98,2,4,92,10,4,4,0,10,23,53,12,13,47,10,4,1.69,1.27,1.48,3,0,1,61,3rd line
350,D,76,21.49,107.02,5.38,6.31,11,20,269,37,6,11,0,8,16,67,42,36,146,8,2,3.38,1.03,0.98,4,1,1,156,1st pair
351,L,69,17.6,206.62,26.01,15.59,33,16,361,72,23,18,1,26,52,53,18,37,159,88,25,5.33,10.84,9.83,5,7,11,272,1st line
352,L,43,12.43,53.87,6.47,3.94,2,2,87,10,6,5,0,9,24,63,13,3,46,19,7,1.63,2.35,2.49,3,1,2,72,3rd line
353,D,61,19.57,60.65,2.78,3.76,4,7,126,13,2,6,0,16,38,112,12,71,86,5,1,1.78,0.61,0.39,1,1,0,92,2nd pair
354,D,80,23.19,141.3,9.0,9.2,24,19,300,53,10,15,0,28,56,78,31,65,171,26,6,4.14,2.9,1.96,4,3,3,203,1st pair
355,L,50,16.49,106.98,11.97,7.94,12,10,181,30,8,8,1,8,19,54,19,29,94,38,13,2.78,4.78,4.4,1,3,4,145,1st line
356,D,39,16.3,35.5,1.42,2.21,5,6,93,15,4,4,0,10,20,49,5,34,50,2,0,1.22,0.2,0.0,3,1,0,52,3rd pair
357,R,81,16.68,216.72,19.93,13.71,11,8,354,41,22,25,6,19,46,86,21,34,214,62,17,5.94,7.28,6.71,8,5,9,293,1st line
358,R,13,10.28,12.8,1.14,0.85,0,1,20,1,0,1,0,0,0,37,4,3,14,3,1,0.5,0.41,0.23,0,0,0,18,3rd line
359,D,78,19.95,126.87,5.71,6.9,5,13,290,26,8,8,0,14,28,83,23,47,172,9,2,3.93,0.95,0.82,6,1,1,183,2nd pair
360,D,13,23.6,37.21,1.79,2.35,4,1,77,8,3,2,0,0,0,5,14,9,48,6,0,1.1,0.69,0.0,0,3,0,54,1st pair
361,L,10,8.58,8.18,0.84,0.66,0,0,13,1,1,1,0,0,0,7,5,0,7,4,0,0.3,0.53,0.0,1,0,0,11,3rd line
362,D,30,16.17,32.14,2.28,1.94,3,6,78,9,0,3,0,11,24,17,3,22,35,6,3,0.62,0.79,0.87,0,0,0,44,3rd pair
363,D,77,21.66,91.18,4.64,5.44,4,11,188,20,5,5,0,15,30,162,18,31,118,13,1,2.68,1.65,0.31,3,2,0,132,1st pair
364,L,49,16.55,109.09,9.23,7.5,15,11,206,39,13,5,1,7,14,17,31,17,111,27,9,3.45,3.11,2.67,6,5,2,147,1st line
365,C,65,10.92,110.58,10.65,7.86,5,3,198,21,13,7,2,4,8,68,29,24,105,35,10,3.85,4.2,2.6,4,6,3,150,3rd line
366,C,82,16.99,145.18,15.52,10.85,16,13,241,45,16,13,2,15,30,68,59,42,118,61,12,4.55,7.45,3.52,9,4,3,191,1st line
367,L,23,16.37,39.56,4.45,2.97,6,2,68,15,7,3,1,3,6,7,13,14,30,16,6,1.12,1.87,1.46,0,3,4,52,2nd line
368,C,80,20.55,267.69,30.48,20.29,37,26,489,102,39,27,5,7,14,74,56,47,257,83,33,8.46,10.07,11.95,11,14,14,373,1st line
369,L,51,9.59,51.31,6.14,3.58,2,4,83,9,3,7,0,11,27,83,11,18,39,22,7,1.31,2.77,2.06,2,0,1,68,3rd line
370,C,62,12.13,72.88,8.37,5.49,6,1,130,14,7,8,2,4,8,60,23,7,58,32,8,2.21,3.82,2.34,3,2,2,98,3rd line
371,R,67,13.46,98.84,10.54,6.41,9,4,158,28,15,8,2,8,16,20,16,26,97,25,11,2.98,2.97,4.59,5,5,5,133,3rd line
372,R,66,11.63,82.69,9.26,6.68,7,3,139,15,5,12,1,27,81,178,17,8,65,31,12,2.12,3.85,3.29,2,2,1,108,3rd line
373,D,67,17.91,76.86,4.26,4.4,6,6,154,18,6,1,1,14,30,107,11,37,102,5,3,2.37,0.7,1.19,5,0,1,110,2nd pair
374,C,79,20.65,215.55,29.06,17.09,20,12,355,70,38,20,3,9,18,57,38,37,180,86,35,6.02,10.41,12.64,11,17,10,301,1st line
375,D,79,17.45,92.65,3.73,5.35,4,5,204,11,2,10,0,25,50,113,19,42,125,6,2,2.37,0.82,0.54,1,1,0,133,3rd pair
376,L,76,12.11,169.19,15.63,10.86,10,4,276,27,13,19,1,24,56,100,16,33,170,36,20,4.51,5.0,6.12,4,5,4,226,3rd line
377,D,12,16.14,9.51,0.34,0.53,0,0,19,1,1,0,0,4,8,11,3,9,13,1,0,0.25,0.09,0.0,1,0,0,14,3rd pair
378,D,33,18.15,32.55,1.14,1.93,5,3,66,11,3,3,0,16,32,45,2,13,45,2,0,0.93,0.21,0.0,3,0,0,47,2nd pair
379,D,59,16.96,51.46,3.19,3.11,1,1,119,3,1,6,0,18,34,122,19,25,61,10,2,1.33,1.28,0.58,0,1,0,73,3rd pair
380,D,50,14.64,41.03,1.56,2.57,2,5,105,8,1,1,0,12,36,81,6,14,58,3,0,1.26,0.3,0.0,1,0,0,61,3rd pair
381,C,82,16.04,124.22,14.91,8.11,11,8,207,38,19,15,1,5,10,42,42,21,110,46,12,3.5,5.38,6.03,5,7,7,168,2nd line
382,C,68,9.64,65.38,6.64,4.7,5,2,114,15,8,2,2,6,12,61,14,16,61,22,6,2.01,2.82,1.8,1,4,3,89,3rd line
383,R,84,11.8,89.23,11.58,6.48,4,5,151,22,13,7,3,25,59,268,12,13,58,48,13,1.84,6.04,3.7,4,5,4,119,3rd line
384,R,20,12.07,25.52,5.78,2.24,2,1,39,9,6,0,1,3,6,14,4,3,15,11,8,0.51,1.36,3.91,1,0,5,34,3rd line
385,L,46,9.82,67.23,6.84,5.1,3,3,120,11,5,5,1,6,12,63,15,18,59,25,7,1.98,3.28,1.58,1,3,1,91,3rd line
386,L,21,12.07,27.43,4.12,2.22,1,2,46,8,5,1,3,4,8,21,9,3,20,10,6,0.6,1.4,2.13,1,0,4,36,3rd line
387,L,67,12.7,140.63,18.11,10.69,10,5,228,28,13,11,1,14,28,96,49,27,106,56,22,4.12,7.59,6.4,9,4,0,184,3rd line
388,D,62,22.39,57.85,3.02,3.38,6,11,123,20,3,3,0,10,20,61,15,61,70,10,2,1.54,1.04,0.44,1,1,1,82,1st pair
389,L,50,17.47,176.85,20.14,12.97,13,10,322,42,19,19,4,10,20,86,34,29,171,52,19,6.61,6.21,7.32,6,4,9,242,1st line
390,D,23,14.45,35.59,1.53,2.0,1,1,65,3,1,5,0,6,15,52,5,9,48,3,0,1.11,0.42,0.0,1,0,0,51,3rd pair
391,C,79,16.86,136.3,17.51,10.52,23,17,233,55,15,11,3,18,36,65,34,62,116,51,18,3.78,6.43,7.28,4,5,6,185,1st line
392,C,81,16.27,123.36,19.05,10.1,7,10,201,34,17,13,2,16,32,155,33,30,92,55,24,3.49,6.63,8.93,6,6,5,171,2nd line
393,L,82,16.82,187.77,24.44,14.91,17,9,343,43,17,13,3,20,40,86,48,32,140,90,26,5.62,11.35,7.46,3,10,4,256,1st line
394,D,16,15.46,17.69,0.84,1.02,2,2,37,5,1,2,0,1,5,27,11,8,22,3,0,0.51,0.33,0.0,1,0,0,25,3rd pair
395,L,18,14.23,37.85,5.35,3.31,2,0,68,9,7,10,1,3,6,3,5,6,24,17,8,0.68,2.33,2.34,1,3,3,49,2nd line
396,C,12,17.44,24.58,2.8,1.97,3,3,44,8,2,4,0,2,4,12,0,3,23,9,2,0.76,1.16,0.87,0,1,1,34,1st line
397,L,20,14.85,49.14,6.85,3.72,5,2,83,9,2,5,0,1,2,20,6,9,39,18,9,1.41,2.45,3.0,1,0,1,66,2nd line
398,L,63,9.32,64.03,7.03,4.42,8,0,115,15,7,11,1,25,77,239,4,17,54,27,7,1.72,3.59,1.72,1,5,1,88,3rd line
399,R,69,12.08,76.22,8.95,5.69,5,4,129,19,10,7,2,6,12,122,18,23,56,39,8,1.81,4.81,2.33,4,2,4,103,3rd line
400,C,82,17.04,122.64,13.28,9.11,12,14,206,41,15,15,1,30,69,29,29,48,106,48,12,3.45,6.13,3.7,4,6,5,166,1st line
401,D,80,25.11,144.44,7.93,9.24,16,27,309,50,7,12,1,12,26,93,45,39,187,23,4,4.15,2.46,1.32,2,3,2,214,1st pair
402,D,81,19.95,100.04,5.23,6.02,12,14,245,33,7,11,1,15,28,44,28,41,132,12,2,3.28,1.34,0.61,3,2,2,146,2nd pair
403,L,82,15.12,162.96,24.19,11.79,12,16,276,48,20,23,3,15,30,65,35,35,127,56,32,4.64,7.43,12.12,7,4,9,215,2nd line
404,C,82,19.78,241.63,37.24,19.86,24,12,407,67,31,26,7,6,12,58,35,38,192,89,49,6.02,10.9,20.32,8,6,17,330,1st line
405,C,53,11.8,53.38,5.77,3.38,7,1,99,10,2,5,1,3,6,49,20,15,51,13,8,1.31,1.7,2.76,0,1,1,72,3rd line
406,D,10,16.74,13.15,0.58,0.81,0,1,29,1,0,1,0,1,2,21,0,4,18,1,0,0.43,0.15,0.0,0,0,0,19,3rd pair
407,R,59,16.3,165.81,15.92,10.6,15,7,275,37,15,14,1,32,70,62,30,32,164,43,18,5.01,5.55,5.37,4,7,4,225,2nd line
408,L,82,11.31,143.29,14.07,9.61,5,3,218,20,12,11,4,28,68,149,30,13,126,46,17,3.65,5.5,4.91,3,7,2,189,3rd line
409,D,82,22.01,147.11,6.33,8.82,15,10,346,30,5,18,1,15,33,37,60,26,202,11,3,4.26,1.3,0.76,2,2,1,216,1st pair
410,C,50,12.44,59.61,6.57,4.25,3,2,106,12,7,3,1,8,18,45,15,12,48,26,7,1.8,2.96,1.81,2,2,3,81,3rd line
411,R,66,11.92,61.21,5.76,4.34,2,4,108,10,4,3,0,7,14,126,15,21,62,15,6,1.92,1.78,2.06,1,0,3,83,3rd line
412,C,17,8.86,16.09,2.06,1.2,1,0,27,1,0,4,0,2,7,26,4,3,13,4,4,0.48,0.57,1.01,0,0,0,21,3rd line
413,C,70,12.06,76.01,8.56,5.17,0,3,136,6,3,6,1,12,30,114,11,8,68,31,9,2.31,3.75,2.5,0,1,2,108,3rd line
414,D,78,24.23,180.64,11.25,12.95,35,25,395,76,16,12,2,20,41,89,36,59,234,26,5,6.11,3.19,1.94,12,3,1,265,1st pair
415,L,61,15.93,147.7,19.2,11.28,10,10,256,36,16,10,4,12,24,35,24,41,113,61,23,3.88,8.03,7.29,4,8,4,197,2nd line
416,D,72,19.79,106.72,5.35,7.1,11,18,263,38,9,3,1,22,50,68,21,61,143,11,3,3.1,1.32,0.93,4,4,1,157,2nd pair
417,R,36,10.4,47.22,3.91,3.19,1,3,88,8,4,4,1,2,4,23,12,4,48,15,3,1.58,1.62,0.71,1,2,1,66,3rd line
418,R,69,16.96,174.27,24.21,13.09,7,4,281,32,21,20,5,22,52,139,30,25,128,71,31,4.88,8.51,10.83,4,8,9,230,1st line
419,D,70,19.77,132.13,6.48,7.69,18,17,269,42,7,9,2,10,23,52,26,46,165,21,2,3.63,2.18,0.67,3,3,1,188,2nd pair
420,D,81,21.81,197.57,10.07,12.03,8,12,411,38,18,21,1,21,40,71,47,54,263,17,5,6.44,1.99,1.65,13,2,3,285,1st pair
421,R,81,11.56,125.52,16.86,10.26,7,6,194,25,12,12,2,24,75,48,30,26,93,51,21,3.08,6.32,7.46,2,5,5,165,3rd line
422,L,82,15.77,158.38,18.75,10.78,14,8,259,37,15,15,0,11,22,57,48,34,137,59,21,4.6,6.99,7.16,1,10,4,217,2nd line
423,C,54,12.25,135.22,14.14,10.05,5,5,216,15,5,15,1,22,53,107,29,15,121,40,17,3.91,4.83,5.39,2,1,2,178,3rd line
424,C,69,10.46,83.47,9.39,5.74,11,8,131,28,9,6,2,9,24,53,29,14,72,35,8,2.25,4.38,2.77,4,3,2,115,3rd line
425,R,59,16.19,135.21,15.97,11.1,4,0,253,25,21,14,4,7,16,34,31,19,123,43,20,4.41,4.98,6.57,8,5,8,186,2nd line
426,L,81,18.5,276.25,30.11,20.24,17,15,486,63,31,22,4,18,39,65,51,42,254,94,31,7.78,11.22,11.1,3,16,12,379,1st line
427,D,23,14.27,19.61,0.97,1.18,1,0,51,1,0,1,0,2,4,23,2,12,27,1,1,0.56,0.18,0.23,0,0,0,29,3rd pair
428,C,10,10.57,19.63,2.2,1.46,0,1,29,1,0,1,0,1,2,17,2,2,18,6,2,0.69,0.84,0.67,0,0,0,26,3rd line
429,C,57,10.06,54.24,6.29,3.9,7,3,104,21,11,2,0,21,56,157,12,16,43,27,6,1.73,2.98,1.58,2,8,1,76,3rd line
430,L,28,9.69,30.45,2.0,1.86,0,0,62,3,3,1,1,3,6,48,5,8,32,7,2,0.64,0.85,0.5,1,1,1,41,3rd line
431,C,81,18.06,175.89,14.9,12.51,25,18,320,55,12,12,0,28,56,43,43,63,185,42,14,5.87,4.93,4.1,3,5,4,241,1st line
432,D,82,21.03,116.88,4.66,6.79,9,9,296,24,6,9,1,29,63,107,21,64,161,10,2,2.9,1.2,0.55,4,1,1,173,1st pair
433,C,82,15.16,150.11,16.87,10.88,14,13,267,45,18,10,2,17,37,136,24,28,128,61,18,4.16,7.29,5.42,8,6,4,207,2nd line
434,R,64,15.14,70.02,8.59,5.0,12,5,115,25,8,12,2,1,2,11,21,47,55,27,12,1.83,3.14,3.62,2,4,2,94,2nd line
435,C,82,18.69,102.32,16.8,8.92,17,8,165,38,13,12,1,9,20,43,84,26,67,46,23,2.49,5.69,8.62,0,7,6,136,1st line
436,R,82,14.2,110.32,13.17,7.8,11,6,197,26,9,3,2,17,37,116,42,20,93,45,15,3.82,5.29,4.06,4,2,3,153,2nd line
437,D,10,17.57,17.42,0.6,1.06,1,1,34,2,0,3,0,0,0,25,6,1,25,1,0,0.51,0.09,0.0,0,0,0,26,2nd pair
438,R,37,13.45,38.68,4.16,2.45,3,7,80,16,6,3,1,0,0,14,10,20,37,9,7,1.19,1.03,1.94,3,1,2,53,3rd line
439,C,81,16.5,207.01,25.79,14.98,21,16,336,68,31,23,3,19,41,55,36,20,159,86,29,5.69,10.66,9.45,8,14,9,274,1st line
440,C,51,14.97,89.49,10.74,6.43,11,11,159,30,8,4,1,8,16,35,19,18,77,34,11,2.81,3.71,4.22,1,3,4,122,2nd line
441,L,58,12.09,75.38,7.08,5.32,7,4,138,16,5,7,0,10,27,85,24,17,76,21,6,2.25,2.68,2.14,1,4,0,103,3rd line
442,R,46,16.91,83.11,10.03,6.41,9,6,138,28,13,8,1,1,2,13,12,10,58,46,8,1.9,5.62,2.51,3,7,3,112,1st line
443,D,45,16.44,39.96,1.82,2.15,3,4,84,11,4,5,0,5,10,51,5,10,55,2,1,1.15,0.2,0.47,3,0,1,58,3rd pair
444,R,80,21.28,191.0,20.39,13.38,40,29,402,99,30,22,2,14,28,53,104,94,186,53,23,5.03,6.69,8.66,7,12,11,262,1st line
445,D,81,15.72,71.49,3.05,4.09,6,7,169,18,5,6,0,6,16,147,23,52,93,10,0,1.95,1.1,0.0,5,0,0,103,3rd pair
446,R,82,22.22,308.32,38.53,22.67,37,13,559,105,55,22,7,31,62,77,61,45,288,98,42,9.35,11.71,17.47,16,20,19,428,1st line
447,C,22,10.82,17.9,2.3,1.39,1,1,40,5,3,2,1,5,12,16,7,8,14,7,4,0.6,0.77,0.93,0,2,1,25,3rd line
448,D,26,11.64,15.42,0.54,0.91,1,1,31,2,0,2,0,6,15,24,3,7,22,1,0,0.44,0.1,0.0,0,0,0,23,3rd pair
449,L,79,20.44,320.23,45.48,28.08,39,30,537,109,40,50,11,32,73,68,38,62,256,104,64,8.76,13.3,23.43,7,13,20,424,1st line
450,C,82,18.58,230.7,27.2,18.38,36,20,417,83,27,25,5,31,62,53,82,105,198,90,25,6.87,11.4,8.94,5,11,11,313,1st line
451,L,64,20.45,155.07,20.33,12.46,9,21,276,51,21,11,2,14,28,93,26,12,125,65,23,4.14,8.3,7.88,4,9,8,213,1st line
452,L,80,19.42,224.36,23.82,16.95,30,23,398,74,21,19,4,11,22,5,49,50,216,74,18,8.23,8.9,6.69,9,8,4,308,1st line
453,L,17,10.85,18.3,1.42,1.21,0,0,31,1,1,1,0,1,2,23,1,2,19,5,1,0.59,0.6,0.23,0,1,0,25,3rd line
454,D,51,15.95,50.16,2.07,2.98,5,7,118,14,2,6,1,10,23,54,9,9,69,4,1,1.31,0.55,0.22,2,0,0,74,3rd pair
455,D,15,18.78,25.94,2.1,1.61,0,0,56,3,3,1,0,1,2,10,2,8,31,5,2,0.69,0.55,0.86,2,0,1,38,2nd pair
456,D,12,15.8,13.47,1.13,0.83,1,0,30,2,1,3,1,6,12,31,0,15,15,2,2,0.27,0.26,0.6,0,1,0,19,3rd pair
457,C,13,9.96,16.46,2.11,1.2,1,1,25,5,3,1,0,3,6,25,2,2,12,8,2,0.39,1.03,0.69,1,2,0,22,3rd line
458,D,43,12.57,28.92,1.39,1.67,2,1,59,5,2,3,0,13,29,64,7,12,37,5,0,0.69,0.7,0.0,0,2,0,42,3rd pair
459,C,81,20.48,216.2,32.69,17.39,15,11,363,68,42,15,4,11,33,50,61,45,155,113,33,6.03,14.04,12.62,11,19,12,301,1st line
460,D,82,21.77,264.51,13.43,16.08,27,25,562,74,22,24,0,25,50,64,21,74,340,34,4,8.2,3.72,1.5,14,6,2,378,1st pair
461,L,82,20.53,275.19,33.07,20.33,31,18,497,80,31,19,2,10,20,43,42,40,253,90,36,9.47,10.53,13.07,16,7,8,379,1st line
462,D,17,12.72,29.54,1.62,1.84,2,1,66,3,0,5,0,1,2,11,2,5,39,4,1,0.85,0.39,0.37,0,0,0,44,3rd pair
463,D,77,20.62,112.13,5.22,6.21,14,10,257,29,5,10,0,9,18,107,36,59,148,10,3,3.38,1.04,0.8,4,1,0,161,1st pair
464,D,82,19.59,83.74,3.15,4.92,10,11,204,23,2,3,0,26,66,198,18,47,121,5,0,2.41,0.74,0.0,2,0,0,126,2nd pair
465,C,36,10.86,19.48,1.36,1.18,4,3,36,10,3,0,0,3,6,15,13,11,23,4,1,0.6,0.54,0.21,2,1,0,28,3rd line
466,C,35,9.13,27.54,4.06,2.18,0,0,46,0,0,3,0,4,8,55,4,4,19,10,7,0.84,1.32,1.9,0,0,0,36,3rd line
467,C,80,21.73,260.54,35.67,18.79,60,16,423,128,52,22,7,12,24,66,77,102,215,105,29,7.54,12.19,15.94,14,22,16,349,1st line
468,D,54,20.18,85.24,2.5,5.17,12,8,197,22,2,7,0,11,22,58,11,25,125,2,0,2.32,0.19,0.0,2,0,0,127,1st pair
469,C,82,18.33,150.1,17.83,10.78,20,16,252,54,18,6,4,24,53,81,27,32,132,51,20,4.57,6.12,7.15,6,5,7,203,1st line
470,C,82,14.62,132.56,16.81,9.53,12,10,221,32,10,10,4,15,30,54,45,38,102,52,23,3.42,6.51,6.89,2,2,6,177,2nd line
471,L,30,14.57,64.05,6.79,4.5,3,3,99,12,6,8,2,7,14,52,10,5,61,12,12,2.07,1.48,3.25,2,2,2,85,2nd line
472,D,13,13.12,8.41,0.48,0.53,2,1,17,3,0,1,0,3,4,11,0,7,9,3,0,0.21,0.27,0.0,0,0,0,12,3rd pair
473,L,75,14.36,152.53,20.21,9.71,8,4,273,40,28,8,3,2,4,16,24,22,148,41,20,5.12,5.02,10.07,9,10,9,209,2nd line
474,L,68,15.71,154.57,18.81,10.71,13,6,264,31,12,18,1,27,60,88,38,41,142,45,23,4.42,5.69,8.69,5,3,4,210,2nd line
475,L,45,15.65,149.49,11.67,9.84,15,11,293,38,12,14,2,4,11,36,30,23,165,34,8,5.19,4.04,2.45,6,1,5,207,2nd line
476,C,81,17.5,262.49,33.86,19.41,14,17,470,73,42,24,6,23,46,29,35,56,230,85,38,7.95,10.86,15.05,17,12,13,353,1st line
477,C,53,17.94,99.16,13.45,7.41,8,6,163,30,16,9,5,8,16,18,46,10,75,36,19,2.74,4.48,6.23,3,6,7,130,1st line
478,C,38,10.79,65.72,6.41,4.62,3,3,109,8,2,8,0,7,14,12,9,6,63,17,8,1.98,1.95,2.47,0,2,0,88,3rd line
479,C,44,11.58,66.28,6.82,4.6,7,7,120,20,6,8,2,4,8,28,12,10,66,19,5,2.11,2.54,2.17,1,3,2,90,3rd line
480,C,54,11.02,48.25,5.92,3.09,1,1,80,6,4,3,1,10,26,173,12,7,39,19,7,0.97,2.4,2.56,0,2,2,65,3rd line
481,C,72,14.24,106.07,12.78,7.81,9,6,183,29,14,14,2,13,26,27,33,31,86,42,14,3.0,5.23,4.54,4,5,5,142,2nd line
482,D,81,17.43,64.22,2.34,3.47,2,3,127,6,1,5,0,26,58,151,9,34,89,2,0,2.05,0.29,0.0,0,1,0,91,3rd pair
483,C,82,15.31,105.58,13.86,7.46,10,10,171,27,7,14,1,4,8,74,57,30,84,36,20,2.9,4.65,6.31,3,3,1,140,2nd line
484,C,55,17.1,134.3,16.1,10.05,12,5,240,33,16,16,2,12,24,76,13,20,110,64,10,3.98,7.69,4.43,6,7,3,184,1st line
485,C,22,9.18,18.13,2.08,1.3,1,1,30,3,1,1,0,5,10,35,6,12,17,7,1,0.52,0.99,0.57,0,1,0,25,3rd line
486,D,82,25.62,198.51,12.42,13.18,42,34,505,101,25,20,1,13,26,33,81,101,260,16,11,6.7,2.01,3.71,16,3,6,287,1st pair
487,D,11,13.07,5.68,0.35,0.36,0,2,16,2,0,0,0,2,4,3,2,7,7,1,0,0.16,0.19,0.0,0,0,0,8,3rd pair
488,D,78,16.29,89.03,3.29,5.3,5,8,196,16,3,11,0,26,58,143,29,32,123,7,0,2.58,0.71,0.0,2,1,0,130,3rd pair
489,D,82,21.2,173.39,8.5,10.44,12,10,362,30,8,21,1,24,63,218,32,49,234,11,7,4.94,1.35,2.22,5,1,2,252,1st pair
490,C,82,19.67,242.31,39.6,21.3,23,21,393,95,51,24,8,2,7,37,51,45,145,127,48,5.84,15.92,17.85,8,21,22,320,1st line
491,C,70,17.42,113.23,11.26,8.83,11,5,209,25,9,11,2,7,14,38,42,23,108,39,10,3.4,4.79,3.08,3,5,1,157,1st line
492,L,78,15.66,214.31,27.36,16.78,9,12,338,48,27,19,5,16,37,197,35,39,160,82,41,5.56,9.86,11.95,11,10,6,283,2nd line
493,D,79,21.28,108.42,6.44,6.82,6,4,258,14,4,12,1,30,71,104,17,35,139,15,6,3.23,1.5,1.7,1,2,1,160,1st pair
494,D,46,14.98,49.15,2.02,2.86,3,1,117,5,1,6,0,11,22,114,5,25,68,4,1,1.34,0.44,0.24,1,0,0,73,3rd pair
495,D,77,17.42,92.14,4.57,5.3,6,6,204,15,3,12,0,13,29,93,36,90,120,8,4,2.83,0.82,0.91,3,0,0,132,3rd pair
496,L,17,10.2,21.14,3.13,1.58,1,1,38,5,3,4,0,2,4,7,2,4,16,8,4,0.76,1.01,1.36,0,2,1,28,3rd line
497,C,77,15.15,151.93,17.56,10.87,9,3,259,24,12,14,3,17,37,167,44,43,132,52,22,4.25,6.5,6.81,4,4,4,206,2nd line
498,C,82,15.48,156.71,19.87,11.37,10,7,281,41,24,23,5,10,20,22,47,55,123,62,22,4.57,8.09,7.21,5,8,11,207,2nd line
499,D,81,18.09,106.99,5.13,6.27,9,5,248,17,3,9,1,14,31,117,19,25,148,7,3,2.94,0.82,1.38,0,3,0,158,2nd pair
500,C,79,11.52,71.81,13.19,6.08,5,7,106,23,11,14,6,19,50,222,30,13,34,29,27,1.18,3.99,8.02,0,5,6,90,3rd line
501,C,80,15.37,162.67,18.48,12.96,18,8,269,43,17,27,5,21,44,55,29,32,130,69,17,4.81,8.55,5.12,5,9,3,216,2nd line
502,C,82,18.16,119.16,13.62,8.36,23,10,204,42,9,12,1,11,25,32,26,44,107,38,17,3.21,4.76,5.65,3,3,3,162,1st line
503,L,25,14.55,65.23,6.33,4.57,4,1,107,16,11,5,2,5,10,14,9,9,55,26,5,1.62,3.33,1.38,2,8,1,86,2nd line
504,D,36,14.17,20.93,1.06,1.21,3,4,49,8,1,2,1,10,20,39,1,17,26,3,1,0.44,0.36,0.26,0,0,1,30,3rd pair
505,C,12,12.6,16.55,1.66,0.99,2,0,23,4,2,3,0,0,0,4,4,5,13,7,1,0.39,0.97,0.31,0,2,0,21,3rd line
506,D,80,20.24,52.78,3.9,3.16,2,14,109,18,2,3,2,18,39,151,28,56,64,6,5,1.3,0.73,1.87,0,1,1,75,1st pair
507,C,78,18.59,306.48,34.18,21.25,27,20,542,94,47,22,1,18,39,55,43,40,278,93,39,9.66,11.44,13.07,12,18,17,410,1st line
508,C,82,19.8,200.69,31.19,14.41,28,39,328,104,37,20,5,15,35,48,56,31,149,81,36,5.35,9.95,15.88,8,13,16,266,1st line
509,L,61,15.35,120.68,15.35,10.26,8,9,197,29,12,15,0,14,28,18,24,10,94,45,23,2.74,5.61,6.99,1,5,6,162,2nd line
510,R,77,17.1,230.94,26.18,15.3,25,8,418,59,26,19,3,12,24,25,19,35,219,64,32,7.23,7.51,11.44,9,6,11,315,1st line
511,R,82,18.8,219.98,25.26,14.18,27,17,357,79,35,9,3,17,34,75,52,32,182,86,25,5.5,10.67,9.1,5,17,13,293,1st line
512,C,80,17.09,159.09,20.0,11.72,18,15,270,57,24,8,5,1,2,79,55,48,141,58,19,4.84,7.45,7.7,10,8,6,218,1st line
513,D,66,22.55,115.34,6.77,7.34,13,16,238,36,7,14,1,11,22,137,30,49,140,21,1,3.86,2.52,0.38,5,2,0,162,1st pair
514,D,46,12.6,29.41,1.7,1.84,2,5,72,8,1,3,1,1,2,28,12,26,39,1,3,0.82,0.09,0.79,0,0,1,43,3rd pair
515,C,67,13.87,74.46,10.52,6.19,8,10,125,28,10,7,3,14,28,63,17,20,54,27,16,1.7,3.26,5.56,1,5,4,97,2nd line
516,D,67,22.3,102.03,7.05,6.67,20,25,225,52,7,6,1,25,54,84,26,45,127,10,6,3.38,1.34,2.32,3,1,3,143,1st pair
517,R,56,11.68,124.17,14.52,8.98,8,7,227,28,13,14,2,6,12,40,8,14,112,43,14,4.15,5.1,5.26,2,6,5,169,3rd line
518,R,67,12.21,94.77,11.2,6.87,8,3,150,27,16,13,2,6,12,56,36,13,81,37,9,3.26,4.62,3.32,7,5,4,127,3rd line
519,D,14,17.03,19.33,0.83,1.24,4,0,47,6,2,4,0,1,2,7,1,6,25,3,0,0.54,0.29,0.0,2,0,0,28,3rd pair
520,D,63,14.93,46.37,1.35,2.4,2,4,117,8,2,6,0,11,25,91,20,39,66,2,0,1.07,0.28,0.0,2,0,0,68,3rd pair
521,R,51,9.16,26.64,3.24,1.98,0,0,45,2,2,3,1,12,30,32,9,19,17,13,4,0.43,1.55,1.25,1,0,1,34,3rd line
522,D,79,21.81,148.35,8.97,8.99,11,12,290,34,11,10,1,7,14,66,15,20,188,21,3,4.95,2.4,1.62,4,5,2,212,1st pair
523,L,70,12.15,82.58,10.57,5.61,0,1,144,9,8,7,1,18,40,117,29,13,69,28,16,2.34,3.38,4.85,3,2,3,113,3rd line
524,D,81,22.64,178.15,8.77,11.54,17,14,382,38,7,22,1,14,33,76,58,53,236,15,7,4.92,1.78,2.06,2,3,2,258,1st pair
525,D,75,19.3,135.04,4.54,7.44,14,9,278,27,4,15,0,23,46,79,31,33,180,9,0,3.51,1.03,0.0,4,0,0,189,2nd pair
