,position,games_played,minutes/game,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,penalties,I_F_penalityMinutes,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_unblockedShotAttempts,Line_or_Pair
216,R,30,13.1,49.5,4.76,3.27,2,2,82,7,3,2,0,5,10,22,16,14,51,9,7,1.91,1.01,1.84,2,1,0,67,3rd line
217,D,20,9.84,14.85,0.82,0.88,2,1,37,4,1,2,1,2,6,13,1,7,19,1,1,0.39,0.18,0.25,0,0,1,21,3rd pair
218,L,81,18.65,184.2,30.52,14.38,18,16,306,64,30,12,8,22,44,68,92,48,130,76,39,5.36,9.32,15.84,4,8,18,245,1st line
219,L,69,12.74,69.51,10.93,5.47,10,3,118,17,4,6,1,21,60,198,29,15,53,29,15,2.11,3.72,5.1,0,1,3,97,3rd line
220,D,79,16.77,116.39,5.03,6.98,7,8,273,21,6,8,0,17,37,108,29,48,163,5,2,3.51,0.59,0.92,5,0,1,170,3rd pair
221,L,81,13.52,108.72,14.32,8.01,4,8,174,24,12,9,2,8,16,43,35,22,79,51,17,2.75,6.2,5.36,1,6,5,147,2nd line
222,D,26,14.64,17.82,0.41,0.99,0,3,54,4,1,2,0,6,21,50,4,9,27,0,0,0.41,0.0,0.0,1,0,0,27,3rd pair
223,D,49,15.6,56.31,2.8,3.06,4,6,115,18,8,2,0,4,8,16,10,25,76,3,2,1.66,0.38,0.76,5,2,1,81,3rd pair
224,C,82,15.65,132.99,19.91,10.45,13,10,209,36,13,21,4,15,48,161,28,24,91,60,31,3.25,7.37,9.28,2,6,5,182,2nd line
225,R,81,15.11,163.85,15.42,11.84,13,16,280,46,17,18,2,9,21,47,46,37,189,30,15,6.62,3.3,5.5,7,4,6,234,2nd line
226,C,46,10.62,51.51,5.21,3.49,3,2,79,12,7,4,2,1,2,61,4,7,47,14,7,1.52,1.77,1.92,5,0,2,68,3rd line
227,C,68,20.21,237.94,30.95,18.67,11,8,386,45,26,19,1,19,41,129,28,25,185,94,37,5.22,12.01,13.71,4,15,7,316,1st line
228,C,58,16.56,114.26,18.05,8.9,12,6,189,29,11,14,3,10,23,34,40,15,74,59,22,2.87,7.13,8.05,1,5,5,155,1st line
229,C,71,13.24,104.53,11.12,7.65,8,10,174,25,7,11,2,14,34,61,24,8,93,41,8,3.66,5.2,2.26,1,4,2,142,3rd line
230,L,32,13.59,58.28,6.96,4.24,3,3,103,13,7,5,2,12,30,103,17,14,47,21,11,1.53,2.64,2.78,2,2,3,79,2nd line
231,D,79,23.8,114.95,8.36,7.04,15,16,228,35,4,10,0,13,24,27,25,52,133,19,8,3.69,2.4,2.27,1,3,0,160,1st pair
232,R,82,20.13,285.32,30.23,20.33,48,35,545,113,30,29,2,18,36,61,57,98,265,109,22,9.18,12.94,8.11,10,11,9,396,1st line
233,L,61,9.11,65.95,8.74,4.86,4,3,107,12,5,11,0,20,64,101,17,14,48,27,10,1.9,3.44,3.4,3,1,1,85,3rd line
234,C,80,11.83,110.35,13.68,8.37,3,6,191,19,10,16,4,7,16,133,46,15,90,46,15,3.34,5.99,4.35,5,1,4,151,3rd line
235,D,78,17.86,98.31,5.42,5.78,9,9,172,23,5,4,1,24,60,208,20,47,119,15,3,2.89,1.86,0.68,1,3,1,137,2nd pair
236,D,10,13.27,4.09,0.15,0.35,1,0,13,1,0,0,0,1,2,7,2,8,6,0,0,0.15,0.0,0.0,0,0,0,6,3rd pair
237,R,64,10.33,65.74,6.18,4.27,2,4,109,10,4,5,1,8,16,113,23,16,59,23,8,1.48,2.79,1.91,2,1,1,90,3rd line
238,D,78,25.8,181.95,15.03,13.38,35,23,378,73,15,16,0,41,82,105,45,61,221,31,15,5.89,3.76,5.38,6,6,3,267,1st pair
239,D,78,20.38,209.71,9.65,14.27,22,14,481,49,13,13,0,10,20,60,39,49,292,11,6,6.58,1.15,1.91,10,2,1,309,1st pair
240,C,30,10.4,17.18,1.55,1.19,2,2,33,6,2,0,0,4,8,22,7,5,18,5,1,0.61,0.66,0.28,2,0,0,24,3rd line
241,D,75,20.82,158.53,12.94,10.58,15,13,334,41,13,13,0,11,22,46,32,55,199,17,14,5.24,1.96,5.74,5,3,5,230,1st pair
242,D,80,20.13,87.83,4.21,4.74,4,10,192,15,1,6,0,12,24,139,20,39,109,14,1,2.17,1.74,0.31,1,0,0,124,1st pair
