playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8480950,2021,Ilya Lyubushkin,TOR,D,other,77,1759,31,5.75,0.59,0.45,0.32,0.49,0.35,0.48,180,0.74,0.07,0.05,0.29,0.04,0.29,0.26,0.06,0.07,0.06,0,1,1,0,0,1,2,1,0,1,0,0,0,0,0,0,1,2,0,4,1,0,1,0,0,0.07,0,0,1,0,0,1,1,1,0,0.01,0,0.07,0.01,0.01,0.01,31,4,6,4,17,1,9,5,16,0,0,6966,2,2,1,4,12.01,6.06,5.4,6.06,5.4,11,6,1,18,6,3,3,6,4,7,0.26,0.58,5.22,1,1,4,18,17,17,0.16,1.06,1.06,5.17,5.17,5.07,22.07,4.19,3.05,4.19,3.05,20,11,8,39,2,3,0,17,7,7,0.85,0.74,2.6,2,0,0,39,31,31,0.52,0.78,0.78,3.93,3.93,2.78,15.51,18.76,138,146,0,0.1,0,2,0,2
8480950,2021,Ilya Lyubushkin,TOR,D,all,77,80654,1788,11.65,0.42,0.51,0.43,0.5,0.43,0.51,360,51.47,1.91,2.99,14.42,1.77,31.36,22.54,1.85,1.91,1.84,5,8,54,21,29,104,15,2,0,1,10,2,26,35,52,73,24,51,0,187,15,37,73,2,0,1.65,0.26,0,2,0,0,103.01,75,74.08,29,0.6,0,0.15,2.35,2.34,2.27,1788,115,287,254,1132,178,264,208,1138,0,0,199043,51,23,10,92,563.07,49.05,47.39,49.4,47.74,553,232,248,1033,52,32,7,597,152,36,17.15,18.76,13.14,23,17,12,1031.01,785,785.03,7.56,6.4,6.4,50.22,50.66,49.98,749.21,67.52,64.21,68.04,64.72,774,265,311,1350,79,64,8,790,183,66,22.58,21.45,23.49,27,24,28,1367.66,1039,1049.98,11.96,12.62,12.57,66.91,67.46,65.22,167.08,159.7,3052,2994,0,0,0,0,0,0
8480950,2021,Ilya Lyubushkin,TOR,D,5on5,77,70283,1568,11.65,0.48,0.52,0.48,0.5,0.48,0.5,340,49.7,1.79,2.84,13.87,1.66,30.43,21.41,1.74,1.79,1.73,5,6,51,21,28,100,12,1,0,0,9,2,25,35,50,71,20,43,0,168,12,33,70,2,0,1.54,0.26,0,1,0,0,99.01,72,71.08,25,0.56,0,0.09,2.26,2.25,2.19,1568,105,202,240,1021,167,220,173,1008,0,0,156322,43,17,7,70,527.18,40.85,39.86,41.19,40.21,516,219,244,979,44,29,4,568,140,27,16.28,17.17,7.39,21,15,8,977.01,735,735.03,7.11,5.34,5.34,42.61,43.05,42.48,569.87,44.95,43.28,45.48,43.79,596,193,252,1041,52,43,6,606,146,37,17.01,17.13,10.81,19,21,12,1058.67,789,799.98,7.67,9.25,9.2,43.42,43.96,43.27,108.34,101.78,2303,2322,7.21,0.38,133,16,110,14
8480950,2021,Ilya Lyubushkin,TOR,D,4on5,77,8446,176,8.72,0.1,0.17,0.11,0.15,0.13,0.16,218,1.03,0.05,0.1,0.25,0.07,0.64,0.88,0.05,0.05,0.05,0,1,2,0,1,3,1,0,0,0,1,0,1,0,2,2,3,6,0,15,2,4,2,0,0,0.05,0,0,0,0,0,3,2,2,4,0.02,0,0,0.07,0.07,0.07,176,4,79,9,84,8,32,28,108,0,0,12122,6,0,0,0,23.23,2.12,2.12,2.12,2.12,25,7,3,35,2,0,0,22,8,2,0.59,1,0.53,1,1,0,35,32,32,0.28,0,0,2.4,2.4,2.39,157.27,18.39,17.88,18.39,17.88,158,61,51,270,25,18,2,167,30,22,4.72,3.58,10.08,6,3,16,270,219,219,3.77,2.59,2.59,19.57,19.57,19.17,4.77,23.73,57,328,0.49,0.03,3,1,3,1
8480950,2021,Ilya Lyubushkin,TOR,D,5on4,77,166,13,1.3,1,0.86,1,0.8,1,0.76,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,1,10,2,3,2,6,0,0,4227,0,0,0,2,0.66,0.02,0.02,0.02,0.02,1,0,0,1,0,0,0,1,0,0,0.02,0,0,0,0,0,1,1,1,0.01,0,0,0.03,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.02,0.98,93,23,0,0,0,0,0,0
8476952,2021,Dominic Toninato,WPG,C,other,77,309,7,1.83,0.32,0.49,0.06,0.57,0.08,0.52,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,2,4,0,3,0,4,1,0,2301,0,0,0,2,0.65,0.87,0.87,0.87,0.87,0,1,0,1,0,0,0,0,0,1,0,0,0.87,0,0,0,1,1,1,0,0,0,0.87,0.87,0.87,8.3,1.87,1.62,1.87,1.62,8,3,6,17,1,2,1,5,3,3,0.32,0.38,1.17,0,0,1,17,11,11,0.25,0.7,0.7,1.42,1.42,1.19,6.29,6.64,45,34,0,0,0,1,0,0
8476952,2021,Dominic Toninato,WPG,C,all,77,38801,962,7.34,0.36,0.51,0.36,0.51,0.36,0.51,796,48.28,6.85,3.49,9.91,1.56,22.74,19.45,6.67,6.93,6.75,6,1,44,20,24,88,14,7,1,0,9,0,16,31,37,57,11,22,87,92,11,10,34,19,11,1.32,2.41,3.12,1,4,2,89.82,64,64.83,9,0.75,0.19,2.24,5.37,5.39,5.35,962,32,112,102,716,141,136,111,574,87,118,241615,22,10,5,32,207.57,20.61,20.3,20.74,20.43,214,73,107,394,20,13,0,208,57,22,5.92,7.45,7.23,5,7,8,401.81,287,291.14,2.85,3.21,3.21,20.24,20.36,20.25,372.15,36.42,34.73,36.69,34.95,381,136,177,694,36,32,6,381,99,37,10.92,12.08,13.41,8,12,16,693.1,517,517.36,6.49,6.78,6.78,36.13,36.29,35.22,235.39,223.36,4033,3827,0,0,0,0,0,0
8476952,2021,Dominic Toninato,WPG,C,5on5,77,31739,757,7.34,0.44,0.51,0.43,0.5,0.42,0.51,831,43.18,5.77,3.11,9.17,1.36,21.45,17.13,5.63,5.85,5.7,3,0,39,19,21,79,9,6,0,0,8,0,15,29,33,52,10,20,80,90,9,9,32,17,9,1.22,2.03,2.51,1,3,2,80.82,58,58.83,8,0.66,0,1.64,4.79,4.81,4.78,757,30,44,91,592,129,95,81,452,80,104,197860,20,6,3,20,185.64,15.95,15.68,16.09,15.81,189,70,103,362,14,11,0,193,53,13,5.49,6.78,3.68,5,5,4,369.81,259,263.14,2.53,2.62,2.62,15.87,15.99,15.88,255.57,20.07,19.37,20.33,19.59,253,103,124,480,17,18,1,272,67,17,7.86,8.26,3.95,6,7,4,479.1,356,356.36,3.58,2.51,2.51,21.14,21.3,21,157.52,153.28,3131,3105,0.95,1.1,24,19,20,17
8476952,2021,Dominic Toninato,WPG,C,4on5,77,6545,186,6.23,0.16,0.17,0.11,0.16,0.12,0.17,240,4.17,0.68,0.3,0.45,0.11,1.17,2.29,0.66,0.68,0.66,3,0,4,1,3,8,4,1,1,0,0,0,1,2,3,4,1,2,4,2,2,1,2,2,1,0.09,0.38,0.2,0,1,0,8,5,5,1,0.07,0.19,0.19,0.55,0.55,0.55,186,1,67,8,110,10,37,29,110,4,2,12045,2,0,0,0,16.8,2.76,2.74,2.76,2.74,20,1,4,25,5,1,0,11,4,6,0.38,0.67,1.71,0,2,3,25,21,21,0.23,0.19,0.19,2.8,2.8,2.79,108.28,14.48,13.74,14.48,13.74,120,30,47,197,18,12,4,104,29,17,2.75,3.44,8.29,2,5,11,197,150,150,2.65,3.57,3.57,13.57,13.57,13.02,5.76,28.08,64,346,0.01,0.1,1,4,1,2
8476952,2021,Dominic Toninato,WPG,C,5on4,77,208,12,1.2,1,0.9,1,0.9,1,0.9,112,0.94,0.41,0.08,0.29,0.09,0.11,0.02,0.39,0.41,0.39,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0.41,0,0,0,1,1,1,0,0.03,0,0.41,0.03,0.03,0.03,12,1,0,1,10,2,1,1,8,2,2,3921,0,0,0,3,4.46,1.03,1.01,1.03,1.01,5,1,0,6,1,1,0,4,0,2,0.05,0,0.97,0,0,1,6,6,6,0.08,0.41,0.41,0.7,0.7,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.24,0.81,104,12,0,0,0,0,0,0
