,playerId,season,name,team,position,situation,games_played,minutes/game,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,penalties,I_F_penalityMinutes,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_unblockedShotAttempts,Line_or_Pair
441,8479379,2023,Givani Smith,SJS,R,all,26,7.738461537999999,24.57,2.52,1.78,2,0,43,3,1,6,12,33,45,4,6,21,7,4,0.49,0.95,1.08,1,0,0,32,3rd line
442,8480196,2023,Jacob Bryson,BUF,D,all,3,9.433333333,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1st line
443,8482476,2023,Emil Heineman,MTL,L,all,3,9.055555556,0.5,0.1,0.05,0,0,3,0,0,0,0,0,2,0,1,0,1,0,0.0,0.1,0.0,0,0,0,1,3rd pair
444,8483431,2023,Logan Cooley,ARI,C,all,38,16.11710526,67.02,6.54,5.12,11,4,119,18,3,4,5,10,16,14,22,63,19,8,2.05,2.36,2.12,0,2,1,90,1st line
445,8482655,2023,J.J. Moser,ARI,D,all,36,19.59351852,33.88,2.54,2.35,6,6,86,15,3,4,4,8,31,11,13,42,4,4,0.86,0.52,1.16,0,1,2,50,3rd pair
446,8478010,2023,Brayden Point,TBL,C,all,41,20.30487805,113.48,17.6,9.2,9,14,196,42,19,9,4,8,8,14,18,90,34,28,3.3,3.98,10.33,6,6,7,152,1st line
447,8482660,2023,Kent Johnson,CBJ,C,all,25,13.73666667,38.6,3.04,2.57,3,4,72,13,6,5,0,0,2,12,4,43,6,4,1.28,0.61,1.15,3,0,3,53,3rd line
448,8482665,2023,Matty Beniers,SEA,C,all,39,18.2474359,67.35,7.9,4.97,10,3,148,18,5,9,4,8,17,23,17,66,20,9,2.19,2.38,3.33,1,2,2,95,3rd pair
449,8478854,2023,Ryan Shea,PIT,D,all,22,12.46212121,12.15,0.39,0.66,0,0,28,0,0,1,3,6,13,5,6,18,0,0,0.39,0.0,0.0,0,0,0,18,1st line
450,8477497,2023,Sean Monahan,MTL,C,all,39,18.3965812,80.25,10.89,7.13,7,6,140,23,10,6,4,10,9,14,22,63,27,18,2.0,3.54,5.35,1,3,6,108,1st line
451,8478028,2023,Fredrik Olofsson,COL,L,all,39,10.33547009,30.65,4.58,2.17,3,2,50,8,3,4,3,6,22,13,3,22,13,6,0.8,1.57,2.21,1,2,0,41,1st line
452,8475745,2023,Charlie Coyle,BOS,C,all,39,17.81367521,76.73,11.84,5.28,5,11,124,30,14,4,9,18,46,25,16,62,22,16,2.23,2.8,6.8,2,6,6,100,1st line
453,8480879,2023,Jacob Bernard-Docker,OTT,D,all,29,15.60287356,15.43,0.58,0.79,3,1,47,7,3,3,4,8,19,5,17,20,2,0,0.27,0.31,0.0,3,0,0,22,3rd line
454,8478569,2023,Noel Acciari,PIT,C,all,32,12.92135417,36.49,4.04,2.79,1,0,65,4,3,4,3,6,62,13,3,30,20,2,1.13,2.43,0.48,0,2,1,52,3rd pair
455,8479772,2023,Zack MacEwen,OTT,R,all,15,5.738888889,9.22,0.5,0.46,1,0,16,2,1,1,5,19,24,4,3,11,2,0,0.24,0.27,0.0,1,0,0,13,2nd pair
456,8480205,2023,Emil Bemstrom,CBJ,R,all,26,13.41474359,45.68,4.65,2.86,4,2,86,10,4,2,4,6,13,3,5,45,14,4,1.5,1.59,1.57,0,2,2,63,3rd pair
457,8475793,2023,Ryan Johansen,COL,C,all,41,14.07073171,59.21,10.41,4.35,3,2,95,16,11,5,5,10,26,12,15,41,22,14,1.14,2.8,6.47,0,6,5,77,3rd line
458,8475855,2023,Jesper Fast,CAR,R,all,37,13.55135135,41.75,6.03,3.27,7,0,70,11,4,5,4,8,24,13,8,31,20,7,1.22,2.75,2.06,1,1,2,58,3rd pair
459,8482157,2023,Will Cuylle,NYR,L,all,39,11.29316239,57.31,6.84,3.87,2,2,104,11,7,10,10,26,99,3,5,49,18,9,1.79,2.29,2.76,1,5,1,76,1st line
460,8477073,2023,Kurtis MacDermid,COL,D,all,18,4.657407407,7.13,1.0,0.63,0,0,10,2,2,2,6,15,28,2,4,5,3,1,0.31,0.35,0.33,1,1,0,9,1st pair
