,minutes/game,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_shotAttempts,I_F_points,I_F_rebounds,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_unblockedShotAttempts
440,14.97,89.49,10.74,6.43,159,30,4,19,18,77,34,11,2.81,3.71,4.22,1,3,4,122
441,12.09,75.38,7.08,5.32,138,16,7,24,17,76,21,6,2.25,2.68,2.14,1,4,0,103
442,16.91,83.11,10.03,6.41,138,28,8,12,10,58,46,8,1.9,5.62,2.51,3,7,3,112
443,16.44,39.96,1.82,2.15,84,11,5,5,10,55,2,1,1.15,0.2,0.47,3,0,1,58
444,21.28,191.0,20.39,13.38,402,99,22,104,94,186,53,23,5.03,6.69,8.66,7,12,11,262
445,15.72,71.49,3.05,4.09,169,18,6,23,52,93,10,0,1.95,1.1,0.0,5,0,0,103
446,22.22,308.32,38.53,22.67,559,105,22,61,45,288,98,42,9.35,11.71,17.47,16,20,19,428
447,10.82,17.9,2.3,1.39,40,5,2,7,8,14,7,4,0.6,0.77,0.93,0,2,1,25
448,11.64,15.42,0.54,0.91,31,2,2,3,7,22,1,0,0.44,0.1,0.0,0,0,0,23
449,20.44,320.23,45.48,28.08,537,109,50,38,62,256,104,64,8.76,13.3,23.43,7,13,20,424
450,18.58,230.7,27.2,18.38,417,83,25,82,105,198,90,25,6.87,11.4,8.94,5,11,11,313
451,20.45,155.07,20.33,12.46,276,51,11,26,12,125,65,23,4.14,8.3,7.88,4,9,8,213
452,19.42,224.36,23.82,16.95,398,74,19,49,50,216,74,18,8.23,8.9,6.69,9,8,4,308
453,10.85,18.3,1.42,1.21,31,1,1,1,2,19,5,1,0.59,0.6,0.23,0,1,0,25
454,15.95,50.16,2.07,2.98,118,14,6,9,9,69,4,1,1.31,0.55,0.22,2,0,0,74
455,18.78,25.94,2.1,1.61,56,3,1,2,8,31,5,2,0.69,0.55,0.86,2,0,1,38
456,15.8,13.47,1.13,0.83,30,2,3,0,15,15,2,2,0.27,0.26,0.6,0,1,0,19
457,9.96,16.46,2.11,1.2,25,5,1,2,2,12,8,2,0.39,1.03,0.69,1,2,0,22
458,12.57,28.92,1.39,1.67,59,5,3,7,12,37,5,0,0.69,0.7,0.0,0,2,0,42
459,20.48,216.2,32.69,17.39,363,68,15,61,45,155,113,33,6.03,14.04,12.62,11,19,12,301
460,21.77,264.51,13.43,16.08,562,74,24,21,74,340,34,4,8.2,3.72,1.5,14,6,2,378
461,20.53,275.19,33.07,20.33,497,80,19,42,40,253,90,36,9.47,10.53,13.07,16,7,8,379
462,12.72,29.54,1.62,1.84,66,3,5,2,5,39,4,1,0.85,0.39,0.37,0,0,0,44
463,20.62,112.13,5.22,6.21,257,29,10,36,59,148,10,3,3.38,1.04,0.8,4,1,0,161
464,19.59,83.74,3.15,4.92,204,23,3,18,47,121,5,0,2.41,0.74,0.0,2,0,0,126
465,10.86,19.48,1.36,1.18,36,10,0,13,11,23,4,1,0.6,0.54,0.21,2,1,0,28
466,9.13,27.54,4.06,2.18,46,0,3,4,4,19,10,7,0.84,1.32,1.9,0,0,0,36
467,21.73,260.54,35.67,18.79,423,128,22,77,102,215,105,29,7.54,12.19,15.94,14,22,16,349
468,20.18,85.24,2.5,5.17,197,22,7,11,25,125,2,0,2.32,0.19,0.0,2,0,0,127
469,18.33,150.1,17.83,10.78,252,54,6,27,32,132,51,20,4.57,6.12,7.15,6,5,7,203
470,14.62,132.56,16.81,9.53,221,32,10,45,38,102,52,23,3.42,6.51,6.89,2,2,6,177
471,14.57,64.05,6.79,4.5,99,12,8,10,5,61,12,12,2.07,1.48,3.25,2,2,2,85
472,13.12,8.41,0.48,0.53,17,3,1,0,7,9,3,0,0.21,0.27,0.0,0,0,0,12
473,14.36,152.53,20.21,9.71,273,40,8,24,22,148,41,20,5.12,5.02,10.07,9,10,9,209
474,15.71,154.57,18.81,10.71,264,31,18,38,41,142,45,23,4.42,5.69,8.69,5,3,4,210
475,15.65,149.49,11.67,9.84,293,38,14,30,23,165,34,8,5.19,4.04,2.45,6,1,5,207
476,17.5,262.49,33.86,19.41,470,73,24,35,56,230,85,38,7.95,10.86,15.05,17,12,13,353
477,17.94,99.16,13.45,7.41,163,30,9,46,10,75,36,19,2.74,4.48,6.23,3,6,7,130
478,10.79,65.72,6.41,4.62,109,8,8,9,6,63,17,8,1.98,1.95,2.47,0,2,0,88
479,11.58,66.28,6.82,4.6,120,20,8,12,10,66,19,5,2.11,2.54,2.17,1,3,2,90
480,11.02,48.25,5.92,3.09,80,6,3,12,7,39,19,7,0.97,2.4,2.56,0,2,2,65
481,14.24,106.07,12.78,7.81,183,29,14,33,31,86,42,14,3.0,5.23,4.54,4,5,5,142
482,17.43,64.22,2.34,3.47,127,6,5,9,34,89,2,0,2.05,0.29,0.0,0,1,0,91
483,15.31,105.58,13.86,7.46,171,27,14,57,30,84,36,20,2.9,4.65,6.31,3,3,1,140
484,17.1,134.3,16.1,10.05,240,33,16,13,20,110,64,10,3.98,7.69,4.43,6,7,3,184
485,9.18,18.13,2.08,1.3,30,3,1,6,12,17,7,1,0.52,0.99,0.57,0,1,0,25
486,25.62,198.51,12.42,13.18,505,101,20,81,101,260,16,11,6.7,2.01,3.71,16,3,6,287
487,13.07,5.68,0.35,0.36,16,2,0,2,7,7,1,0,0.16,0.19,0.0,0,0,0,8
488,16.29,89.03,3.29,5.3,196,16,11,29,32,123,7,0,2.58,0.71,0.0,2,1,0,130
489,21.2,173.39,8.5,10.44,362,30,21,32,49,234,11,7,4.94,1.35,2.22,5,1,2,252
490,19.67,242.31,39.6,21.3,393,95,24,51,45,145,127,48,5.84,15.92,17.85,8,21,22,320
491,17.42,113.23,11.26,8.83,209,25,11,42,23,108,39,10,3.4,4.79,3.08,3,5,1,157
492,15.66,214.31,27.36,16.78,338,48,19,35,39,160,82,41,5.56,9.86,11.95,11,10,6,283
493,21.28,108.42,6.44,6.82,258,14,12,17,35,139,15,6,3.23,1.5,1.7,1,2,1,160
494,14.98,49.15,2.02,2.86,117,5,6,5,25,68,4,1,1.34,0.44,0.24,1,0,0,73
495,17.42,92.14,4.57,5.3,204,15,12,36,90,120,8,4,2.83,0.82,0.91,3,0,0,132
496,10.2,21.14,3.13,1.58,38,5,4,2,4,16,8,4,0.76,1.01,1.36,0,2,1,28
497,15.15,151.93,17.56,10.87,259,24,14,44,43,132,52,22,4.25,6.5,6.81,4,4,4,206
498,15.48,156.71,19.87,11.37,281,41,23,47,55,123,62,22,4.57,8.09,7.21,5,8,11,207
499,18.09,106.99,5.13,6.27,248,17,9,19,25,148,7,3,2.94,0.82,1.38,0,3,0,158
500,11.52,71.81,13.19,6.08,106,23,14,30,13,34,29,27,1.18,3.99,8.02,0,5,6,90
501,15.37,162.67,18.48,12.96,269,43,27,29,32,130,69,17,4.81,8.55,5.12,5,9,3,216
502,18.16,119.16,13.62,8.36,204,42,12,26,44,107,38,17,3.21,4.76,5.65,3,3,3,162
503,14.55,65.23,6.33,4.57,107,16,5,9,9,55,26,5,1.62,3.33,1.38,2,8,1,86
504,14.17,20.93,1.06,1.21,49,8,2,1,17,26,3,1,0.44,0.36,0.26,0,0,1,30
505,12.6,16.55,1.66,0.99,23,4,3,4,5,13,7,1,0.39,0.97,0.31,0,2,0,21
506,20.24,52.78,3.9,3.16,109,18,3,28,56,64,6,5,1.3,0.73,1.87,0,1,1,75
507,18.59,306.48,34.18,21.25,542,94,22,43,40,278,93,39,9.66,11.44,13.07,12,18,17,410
508,19.8,200.69,31.19,14.41,328,104,20,56,31,149,81,36,5.35,9.95,15.88,8,13,16,266
509,15.35,120.68,15.35,10.26,197,29,15,24,10,94,45,23,2.74,5.61,6.99,1,5,6,162
510,17.1,230.94,26.18,15.3,418,59,19,19,35,219,64,32,7.23,7.51,11.44,9,6,11,315
511,18.8,219.98,25.26,14.18,357,79,9,52,32,182,86,25,5.5,10.67,9.1,5,17,13,293
512,17.09,159.09,20.0,11.72,270,57,8,55,48,141,58,19,4.84,7.45,7.7,10,8,6,218
513,22.55,115.34,6.77,7.34,238,36,14,30,49,140,21,1,3.86,2.52,0.38,5,2,0,162
514,12.6,29.41,1.7,1.84,72,8,3,12,26,39,1,3,0.82,0.09,0.79,0,0,1,43
515,13.87,74.46,10.52,6.19,125,28,7,17,20,54,27,16,1.7,3.26,5.56,1,5,4,97
516,22.3,102.03,7.05,6.67,225,52,6,26,45,127,10,6,3.38,1.34,2.32,3,1,3,143
517,11.68,124.17,14.52,8.98,227,28,14,8,14,112,43,14,4.15,5.1,5.26,2,6,5,169
518,12.21,94.77,11.2,6.87,150,27,13,36,13,81,37,9,3.26,4.62,3.32,7,5,4,127
519,17.03,19.33,0.83,1.24,47,6,4,1,6,25,3,0,0.54,0.29,0.0,2,0,0,28
520,14.93,46.37,1.35,2.4,117,8,6,20,39,66,2,0,1.07,0.28,0.0,2,0,0,68
521,9.16,26.64,3.24,1.98,45,2,3,9,19,17,13,4,0.43,1.55,1.25,1,0,1,34
522,21.81,148.35,8.97,8.99,290,34,10,15,20,188,21,3,4.95,2.4,1.62,4,5,2,212
523,12.15,82.58,10.57,5.61,144,9,7,29,13,69,28,16,2.34,3.38,4.85,3,2,3,113
524,22.64,178.15,8.77,11.54,382,38,22,58,53,236,15,7,4.92,1.78,2.06,2,3,2,258
525,19.3,135.04,4.54,7.44,278,27,15,31,33,180,9,0,3.51,1.03,0.0,4,0,0,189
526,8.4,14.65,1.0,1.04,25,4,0,2,0,15,6,0,0.31,0.69,0.0,1,1,0,21
527,15.76,15.74,0.75,0.92,34,3,0,1,5,20,3,0,0.42,0.33,0.0,0,0,0,23
528,8.99,35.06,5.7,2.63,55,7,5,10,13,21,14,11,0.72,1.65,3.33,1,1,1,46
529,16.37,145.92,16.55,10.03,261,33,11,37,41,132,47,17,3.93,6.14,6.48,4,4,4,196
530,12.48,60.74,9.3,4.8,109,19,9,16,12,31,35,13,1.09,4.58,3.63,2,6,2,79
531,16.24,155.2,23.96,13.52,276,74,17,32,29,113,69,28,4.21,8.71,11.03,6,19,14,210
532,8.89,71.92,8.33,5.86,119,11,6,19,15,62,27,11,2.11,3.32,2.9,2,3,2,100
533,19.37,211.16,25.34,16.14,352,61,27,43,27,179,82,22,6.92,10.36,8.06,7,12,4,283
534,17.66,296.53,45.11,27.16,464,80,40,46,54,204,124,64,6.99,15.9,22.23,3,16,17,392
535,20.68,222.56,24.64,16.09,404,82,20,58,46,224,62,25,6.97,7.4,10.27,11,5,16,311
536,23.5,190.42,9.11,11.02,401,43,13,41,76,250,19,3,5.87,2.41,0.83,7,4,1,272
537,14.56,22.55,2.85,1.57,42,6,2,12,11,23,3,4,0.75,0.32,1.78,1,0,3,30
538,19.5,226.23,32.97,17.88,377,67,28,63,63,168,107,36,5.93,13.35,13.69,7,17,12,311
539,11.74,15.16,0.37,0.72,36,4,1,3,8,22,0,0,0.37,0.0,0.0,1,0,0,22
540,16.12,70.94,2.6,4.8,155,29,2,11,21,100,6,0,1.89,0.72,0.0,3,0,0,106
541,18.05,122.07,18.32,10.18,217,47,20,28,35,82,64,22,2.8,8.17,7.35,2,5,8,168
542,16.84,76.47,4.13,4.56,162,12,5,3,23,103,7,2,2.52,0.83,0.78,2,0,1,112
543,18.0,264.9,25.9,17.41,470,73,7,54,55,268,71,20,8.75,8.57,8.58,14,14,9,359
544,16.78,190.38,23.93,15.76,298,50,23,28,18,136,84,25,4.74,11.06,8.14,6,12,9,245
545,17.84,13.45,0.42,0.74,41,2,0,7,10,19,0,0,0.42,0.0,0.0,1,0,0,19
546,13.25,51.15,3.66,3.22,91,13,4,21,10,57,12,2,1.63,1.55,0.48,1,3,0,71
547,18.41,255.51,26.9,17.14,438,71,19,45,65,254,66,29,8.44,7.74,10.72,9,6,13,349
548,14.04,82.84,3.7,4.61,197,16,3,12,25,113,4,2,2.59,0.45,0.66,2,0,2,119
549,14.06,33.05,0.85,1.61,77,6,1,13,23,46,1,0,0.76,0.08,0.0,1,0,0,47
550,17.62,82.05,10.48,5.93,141,22,14,13,10,66,30,14,1.89,3.53,5.06,1,8,4,110
551,17.62,103.04,13.69,7.44,164,27,6,31,19,76,41,16,2.45,5.23,6.02,3,4,4,133
552,14.17,90.53,10.72,6.61,158,31,8,30,33,73,41,9,2.49,5.07,3.16,1,7,3,123
553,17.5,174.76,21.87,14.24,279,43,15,35,41,130,80,25,4.78,9.99,7.09,5,8,6,235
554,23.98,159.83,9.49,10.21,335,54,16,56,52,219,10,7,5.04,1.19,3.26,7,3,1,236
555,19.17,50.6,2.82,3.22,104,14,1,12,13,65,4,2,1.63,0.57,0.62,2,1,1,71
556,10.0,14.62,2.14,0.88,20,4,1,7,5,11,7,2,0.43,0.81,0.9,0,0,0,20
557,10.21,31.88,3.73,2.36,58,4,4,7,4,29,11,5,0.98,1.4,1.35,0,1,0,45
558,20.12,69.87,1.69,3.21,163,13,8,24,34,97,2,0,1.52,0.17,0.0,1,0,0,99
