,minutes/game,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_shotAttempts,I_F_points,I_F_rebounds,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_unblockedShotAttempts
622,17.23,58.56,10.04,5.14,98,20,4,11,17,26,39,13,0.89,4.94,4.21,1,8,5,78
623,16.72,134.93,20.4,10.83,228,35,16,44,26,102,57,28,3.58,6.29,10.53,4,8,7,187
624,10.0,38.56,4.22,2.93,64,8,3,10,6,35,15,3,1.21,2.13,0.89,1,1,0,53
625,20.14,260.63,33.31,19.79,443,93,35,59,67,205,106,37,6.29,14.03,12.99,12,10,11,348
626,15.09,17.9,0.53,1.16,52,14,0,6,17,27,0,0,0.53,0.0,0.0,2,0,0,27
627,20.91,122.65,5.04,7.9,301,26,17,22,37,176,7,2,3.58,0.85,0.61,3,1,1,185
628,13.83,14.22,2.46,1.12,27,8,3,6,10,11,5,3,0.44,0.75,1.27,0,1,1,19
629,15.99,136.07,17.79,10.11,244,43,14,47,42,104,65,19,3.99,8.15,5.65,6,6,5,188
630,26.38,175.89,12.26,12.79,403,66,16,50,48,227,21,10,6.24,2.37,3.65,10,4,3,258
631,16.2,193.25,25.2,15.05,325,39,20,37,30,144,76,37,5.02,9.25,10.93,2,7,5,257
632,11.54,17.84,0.53,0.91,37,3,3,9,5,25,1,0,0.44,0.08,0.0,1,0,0,26
633,9.89,18.1,1.65,1.24,28,3,1,1,1,16,7,1,0.62,0.82,0.22,0,0,0,24
634,18.84,70.82,3.81,3.99,159,18,6,13,17,92,7,2,1.83,0.78,1.2,0,0,1,101
635,10.59,64.48,6.17,4.36,108,8,6,17,6,60,20,5,1.98,2.55,1.65,1,3,0,85
636,17.22,226.15,36.6,19.7,336,50,33,25,35,153,101,49,5.64,13.19,17.77,6,14,8,303
637,20.61,106.01,4.79,6.21,231,19,6,9,19,145,7,3,3.24,0.72,0.83,5,0,0,155
638,14.22,115.84,13.28,8.26,203,27,10,23,33,99,47,10,3.9,5.98,3.41,2,5,4,156
639,9.81,30.1,3.67,2.16,43,7,2,3,4,21,13,6,0.54,1.54,1.59,0,1,2,40
640,17.83,128.34,19.2,9.99,222,41,12,38,33,98,49,25,3.44,6.21,9.54,1,3,6,172
641,17.57,213.95,17.93,14.56,387,54,19,40,35,225,55,15,6.16,6.63,5.14,8,4,6,295
642,11.31,81.51,9.78,6.03,144,19,4,29,27,63,33,13,2.41,4.04,3.33,2,4,1,109
643,13.95,97.9,13.22,7.02,190,24,12,30,17,73,46,15,2.67,5.53,5.02,1,7,4,134
644,13.61,120.49,15.58,8.71,206,25,13,56,29,100,43,19,3.91,5.13,6.54,1,6,4,162
645,15.96,14.48,1.72,1.22,27,6,0,4,1,17,3,1,0.61,0.38,0.73,0,0,1,21
646,13.38,59.46,6.57,4.41,114,18,4,16,17,56,22,7,1.89,2.58,2.1,4,2,2,85
647,18.5,112.76,14.72,8.94,185,38,10,27,31,87,45,19,2.73,6.12,5.86,0,8,6,151
648,18.05,170.37,15.47,11.62,294,36,9,19,23,166,48,14,5.19,5.48,4.8,9,11,6,228
649,15.7,14.68,0.72,0.99,32,6,3,8,3,20,1,0,0.54,0.18,0.0,1,0,0,21
650,14.52,120.3,11.37,7.84,218,31,10,20,12,118,44,6,3.73,5.52,2.12,7,8,3,168
651,16.61,266.5,29.78,18.35,477,73,22,41,32,260,67,38,8.17,7.98,13.62,6,11,17,365
652,17.04,142.72,21.06,10.24,254,55,14,45,27,125,48,25,4.17,6.19,10.7,2,5,9,198
653,14.18,48.04,6.68,3.61,84,7,6,12,10,41,20,6,1.48,2.45,2.75,0,1,2,67
654,20.54,146.6,18.6,12.42,255,52,13,28,28,134,54,21,5.29,6.96,6.34,5,7,5,209
655,17.62,127.05,18.71,9.71,204,40,11,33,35,102,46,25,3.21,5.86,9.64,2,2,9,173
656,14.4,19.53,0.42,1.08,49,3,1,2,13,29,0,0,0.42,0.0,0.0,2,0,0,29
657,21.92,133.23,7.65,8.57,279,32,14,33,52,172,15,5,3.94,1.68,2.03,3,0,1,192
658,14.74,134.58,17.57,10.31,243,43,19,29,48,111,48,25,3.22,6.28,8.08,5,7,6,184
659,7.69,7.02,0.79,0.53,14,0,2,3,1,6,1,2,0.2,0.1,0.49,0,0,0,9
660,20.12,247.95,38.93,21.55,446,73,27,44,48,174,123,47,6.57,14.26,18.11,7,12,17,344
661,13.31,98.71,11.06,7.09,179,11,12,17,15,96,28,13,3.59,3.22,4.25,1,0,2,137
662,17.37,53.2,6.78,4.4,84,17,4,18,14,44,15,11,1.46,1.96,3.36,0,0,6,70
663,16.92,192.1,20.78,14.08,350,56,21,40,32,183,63,21,5.83,7.32,7.63,7,12,5,267
664,12.35,160.5,17.5,11.97,269,32,15,38,20,136,62,18,4.83,7.67,5.0,2,8,6,216
665,11.73,5.84,0.14,0.3,11,1,0,1,4,8,0,0,0.14,0.0,0.0,1,0,0,8
666,16.45,122.72,12.02,8.49,218,44,13,31,45,109,45,10,3.64,5.44,2.93,1,5,5,164
667,16.34,208.66,20.36,13.82,396,70,18,56,28,213,48,26,6.47,6.13,7.77,16,12,12,287
668,11.15,90.75,9.14,5.99,163,19,10,15,20,89,21,13,2.88,2.76,3.51,3,1,3,123
669,17.42,159.62,25.23,13.4,291,40,14,44,31,127,61,33,4.53,7.64,13.06,3,7,11,221
670,19.31,214.86,18.08,14.91,371,57,11,31,61,237,44,15,7.15,5.47,5.47,12,4,5,296
671,13.11,54.76,5.71,3.7,108,15,3,10,15,53,14,7,1.58,1.42,2.72,0,2,4,74
672,12.12,140.94,11.6,8.52,224,20,12,29,13,144,29,15,3.77,3.36,4.46,3,2,4,188
673,13.2,125.45,9.75,7.99,227,17,9,16,34,126,34,8,3.49,4.37,1.89,3,4,0,168
674,17.69,35.09,2.07,1.85,71,10,4,20,13,44,5,2,0.86,0.59,0.62,0,1,1,51
675,19.78,149.61,8.95,10.98,329,55,19,32,48,201,13,6,5.09,1.59,2.27,9,1,3,220
676,14.49,75.76,3.32,4.67,164,14,3,9,24,100,7,2,1.85,0.95,0.52,3,1,0,109
677,20.75,218.67,24.95,16.13,383,86,16,58,63,212,68,22,7.56,7.76,9.63,16,8,13,302
678,16.69,164.33,22.11,13.29,275,65,25,45,42,123,68,29,4.36,8.58,9.17,8,8,7,220
679,18.58,124.39,6.81,7.74,251,32,6,19,30,167,6,6,4.15,0.63,2.03,3,2,2,179
680,7.68,13.84,1.6,1.0,24,1,2,0,2,13,2,4,0.36,0.25,1.0,0,0,1,19
681,9.72,19.21,1.78,1.27,32,1,2,3,0,17,7,1,0.6,0.87,0.3,0,0,0,25
682,12.97,125.15,12.79,8.99,204,17,11,25,10,123,30,15,4.65,3.6,4.54,2,4,4,168
683,10.46,23.5,3.07,1.7,41,1,0,10,4,19,6,7,0.53,0.77,1.77,0,0,1,32
684,10.04,15.12,0.51,0.82,33,0,0,0,16,22,0,0,0.51,0.0,0.0,0,0,0,22
685,17.01,142.85,14.98,10.37,258,39,19,25,40,129,43,20,4.16,5.16,5.66,4,6,5,192
686,11.38,68.13,5.38,4.36,122,12,1,9,13,73,19,6,1.74,1.96,1.68,1,1,2,98
687,21.22,50.0,2.59,3.08,101,14,6,26,43,65,9,0,1.45,1.14,0.0,2,0,0,74
688,21.99,138.66,7.49,8.0,297,27,17,88,40,178,16,4,4.24,2.03,1.22,5,1,1,198
689,13.84,82.31,8.51,6.01,143,26,5,19,28,77,24,9,2.73,3.23,2.57,3,4,2,110
690,11.35,76.22,7.57,5.09,133,12,8,14,18,66,32,4,2.34,4.18,1.04,2,2,0,102
691,15.22,28.38,1.26,1.6,55,4,3,7,7,38,2,1,0.8,0.24,0.22,0,0,0,41
692,21.7,116.41,5.55,7.08,259,39,7,12,32,153,12,3,3.39,1.24,0.92,8,1,0,168
693,12.62,74.72,7.55,4.85,131,19,3,24,9,75,22,7,2.68,2.73,2.14,5,2,3,104
694,11.84,47.54,4.77,3.25,70,7,4,8,16,43,16,4,1.34,1.96,1.47,3,1,0,63
695,20.19,200.2,20.43,13.98,381,67,18,45,44,187,75,17,5.69,8.77,5.97,7,11,4,279
696,12.91,80.07,11.1,5.86,128,16,9,26,16,52,38,15,1.42,5.11,4.57,1,2,1,105
697,18.95,105.75,4.86,6.06,232,24,6,20,48,147,4,3,2.79,0.5,1.57,1,2,1,154
698,19.48,94.39,4.44,5.01,185,25,7,32,42,124,8,3,2.71,1.06,0.67,2,1,0,135
699,12.11,97.31,9.77,6.97,180,22,5,16,9,89,37,8,2.96,4.47,2.34,2,4,1,134
700,11.93,53.2,6.63,3.97,86,5,3,15,5,38,21,10,1.07,2.74,2.82,0,2,1,69
701,16.16,130.2,17.48,9.26,217,32,6,60,35,110,46,21,4.15,5.6,7.73,5,5,7,177
702,16.54,14.48,0.56,0.76,24,3,2,1,6,20,1,0,0.43,0.14,0.0,0,1,0,21
703,16.76,130.76,17.04,10.25,218,45,10,49,40,91,69,17,3.38,7.88,5.78,2,8,6,177
704,14.2,94.4,10.38,6.41,174,28,7,22,25,90,38,6,3.43,4.43,2.51,4,4,1,134
705,13.71,134.3,18.97,9.96,240,29,25,26,33,114,43,27,3.4,5.68,9.89,2,6,5,184
706,15.83,99.86,14.63,6.89,179,30,13,32,27,75,39,22,2.51,4.64,7.48,1,4,7,136
707,19.13,204.52,25.65,16.49,342,67,21,71,35,177,73,29,5.8,9.21,10.64,6,12,9,279
708,17.41,191.75,22.92,13.77,321,40,16,38,40,170,51,32,5.86,6.36,10.69,3,8,5,253
709,11.67,17.07,1.54,1.16,27,1,3,3,7,14,7,1,0.4,0.93,0.21,0,0,1,22
710,22.32,348.48,30.83,24.95,629,111,25,43,47,375,83,22,12.21,9.9,8.72,17,13,12,480
711,13.85,137.67,14.93,10.39,257,37,19,28,30,118,55,13,4.47,6.49,3.98,6,6,2,186
712,19.28,194.44,27.31,16.61,342,63,18,50,39,138,81,37,5.06,10.26,12.0,3,8,11,256
713,19.04,85.88,5.9,4.85,177,15,7,18,23,109,9,4,2.41,1.22,2.27,3,0,0,122
714,12.17,72.23,6.76,5.26,125,14,8,12,10,74,25,5,1.98,2.83,1.95,3,4,1,104
715,20.3,177.54,23.9,12.69,290,74,17,46,49,141,69,29,4.95,8.64,10.3,3,14,11,239
716,18.41,250.44,36.79,20.82,382,54,25,31,39,179,108,48,5.44,14.15,17.2,5,13,18,335
717,15.1,21.76,1.12,1.28,51,4,1,7,12,27,5,0,0.54,0.58,0.0,0,0,0,32
718,18.72,140.77,13.37,10.7,254,51,18,49,68,142,42,11,5.33,4.82,3.21,6,7,1,195
719,12.91,91.09,11.79,6.96,142,33,10,21,21,71,39,13,2.31,4.8,4.69,1,4,6,123
720,12.11,36.27,1.24,1.87,72,4,2,9,8,49,2,1,0.8,0.22,0.22,0,0,0,52
721,23.81,152.38,7.27,9.98,352,64,17,55,45,212,9,4,5.06,1.0,1.21,9,0,1,225
722,13.5,107.13,12.17,7.49,190,11,13,12,13,94,35,13,3.11,4.55,4.51,1,2,3,142
723,18.77,209.18,20.71,13.89,359,66,16,47,54,207,53,23,5.74,6.8,8.17,10,9,8,283
724,19.29,257.06,37.92,19.13,418,80,30,64,41,190,103,50,6.48,12.74,18.7,11,9,11,343
725,21.43,125.28,7.24,8.52,282,41,9,28,24,163,17,3,4.2,1.93,1.12,4,2,2,183
726,21.26,240.29,32.58,17.78,442,90,21,61,62,180,109,33,6.48,13.04,13.05,6,18,15,322
727,18.63,366.74,46.9,31.13,559,83,47,30,51,286,146,54,9.03,19.09,18.78,7,14,14,486
728,16.62,184.88,24.02,12.8,303,50,13,28,33,171,56,27,6.52,6.94,10.57,5,6,10,254
729,13.71,14.92,0.52,0.8,38,3,0,3,10,21,1,0,0.39,0.13,0.0,0,1,0,22
730,12.22,46.44,6.17,3.06,79,12,5,10,15,42,17,6,1.65,2.23,2.28,1,3,2,65
731,14.06,105.5,12.91,7.35,178,24,12,31,15,90,41,14,3.19,5.12,4.6,4,6,4,145
732,10.09,57.53,5.57,3.54,96,15,6,16,12,49,21,6,1.51,2.54,1.52,1,1,1,76
733,18.87,53.21,2.69,3.23,126,12,6,14,26,71,4,3,1.4,0.58,0.71,1,0,0,78
734,21.1,161.52,18.09,12.02,294,66,17,42,52,146,49,22,4.65,6.08,7.36,7,12,7,217
735,17.38,126.13,16.11,9.66,245,45,12,33,27,108,48,18,3.58,5.89,6.65,4,7,6,174
736,17.77,112.75,17.43,9.3,198,38,17,60,13,75,49,27,2.96,6.14,8.33,2,4,7,151
737,12.23,13.91,1.06,0.92,23,2,1,4,3,14,5,0,0.42,0.64,0.0,0,0,0,19
738,25.49,196.57,12.06,12.55,441,73,28,53,65,251,22,8,6.08,2.44,3.54,7,2,2,281
739,17.21,281.1,28.01,19.11,490,56,24,34,50,278,78,27,7.99,8.93,11.1,3,11,10,383
740,19.97,312.23,36.58,22.68,555,99,23,60,85,279,111,33,10.59,14.0,12.0,16,16,11,423
741,18.45,228.67,29.91,19.49,380,63,24,40,47,188,85,35,7.06,10.86,11.99,8,11,8,308
742,10.54,19.76,2.67,1.58,29,3,2,4,5,11,12,3,0.42,1.36,0.9,0,1,0,26
743,18.83,183.78,15.24,12.79,369,65,9,31,75,205,41,11,6.99,4.98,3.28,7,10,6,257
744,10.2,45.09,3.37,2.79,79,11,8,5,3,48,10,3,1.59,1.02,0.77,4,2,1,61
745,21.97,87.51,6.68,5.46,167,19,10,27,19,96,21,7,2.18,2.54,1.96,0,5,1,124
746,12.2,40.81,5.66,3.13,61,8,3,4,6,23,21,10,0.73,2.52,2.41,1,2,0,54
747,20.0,89.75,6.52,5.27,189,16,10,13,33,100,18,6,2.32,2.24,1.96,3,2,1,124
748,15.98,163.5,22.27,13.22,269,35,20,38,32,122,69,30,4.74,8.47,9.05,3,9,8,221
749,16.68,178.93,18.68,13.26,321,63,15,55,33,171,58,17,6.09,6.85,5.74,5,11,4,246
750,23.15,141.29,5.1,8.54,297,42,10,29,46,194,5,2,3.97,0.5,0.64,3,0,2,201
751,15.18,140.04,11.2,8.24,230,26,9,28,19,145,36,9,3.45,4.07,3.68,2,4,4,190
752,17.86,174.0,21.34,12.17,311,39,12,29,32,154,56,25,5.3,6.99,9.04,3,6,7,235
753,12.04,73.67,5.26,4.89,140,8,8,10,34,86,14,4,2.45,1.78,1.03,1,0,0,104
754,16.8,173.5,17.93,12.98,303,50,13,24,26,162,56,16,5.65,6.64,5.65,4,10,4,234
755,15.6,119.19,17.5,10.51,207,41,16,23,16,80,57,24,3.0,6.89,7.61,7,11,5,161
756,8.63,55.33,5.46,3.8,94,14,4,13,10,47,20,6,1.41,2.5,1.54,4,5,0,73
757,6.58,8.44,0.67,0.53,13,0,0,1,0,8,2,1,0.21,0.23,0.23,0,0,0,11
758,14.53,27.99,1.63,1.62,57,6,2,7,12,33,4,2,0.73,0.41,0.49,0,0,0,39
759,13.31,14.32,0.72,0.76,29,1,1,3,9,18,1,1,0.37,0.09,0.26,0,0,0,20
760,11.39,46.46,4.96,3.06,87,10,4,14,17,43,17,5,1.54,2.0,1.41,0,3,1,65
761,19.65,53.57,3.49,4.1,122,20,4,13,23,66,10,2,1.81,1.09,0.58,2,0,0,78
762,14.28,91.42,10.7,6.57,177,14,8,5,17,78,36,10,2.49,4.43,3.78,3,3,2,124
763,18.18,96.07,6.18,6.18,194,34,8,17,49,114,18,3,3.2,2.12,0.86,2,2,0,135
764,17.4,245.03,30.53,20.08,433,82,29,41,46,205,96,29,7.68,11.94,10.91,12,14,9,330
765,21.88,68.22,6.45,4.5,140,24,5,13,20,77,12,6,2.49,1.35,2.61,4,2,4,95
766,10.57,71.51,7.67,5.29,133,15,7,15,13,66,27,7,2.31,3.45,1.91,0,6,0,100
767,12.6,40.46,2.77,2.39,75,11,1,8,7,48,6,1,1.73,0.65,0.39,1,1,0,55
768,23.64,142.51,6.94,8.02,299,33,12,32,30,191,11,6,3.83,1.4,1.72,3,3,2,208
769,10.96,51.31,5.85,3.4,76,8,5,8,4,37,24,7,0.96,2.81,2.08,0,1,1,68
770,7.8,3.21,0.34,0.24,7,2,1,1,1,3,2,0,0.1,0.23,0.0,0,0,0,5
771,21.94,151.23,7.0,8.39,296,33,7,29,51,203,7,5,4.51,0.81,1.68,6,2,2,215
772,10.08,56.42,5.64,3.73,96,16,10,19,6,54,19,6,1.8,2.21,1.62,3,1,3,79
773,18.78,127.67,7.4,7.56,251,26,5,7,45,170,12,5,3.84,1.5,2.06,3,4,2,187
