name,minutes/game,games_played,icetime,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_shotAttempts,I_F_points,I_F_rebounds,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_unblockedShotAttempts
Vladislav Kolyachonok,15.85,32,30427,23.97,0.91,1.35,54,3,1,12,29,33,1,0,0.82,0.09,0,0,1,0,34
Aaron Ekblad,24.92,61,91212,159.67,10.72,11.4,317,57,18,43,73,199,26,8,4.88,3.22,2.61,9,4,2,233
Noel Acciari,11.98,20,14380,34.52,4.73,2.62,52,8,2,8,6,27,11,7,1.03,1.28,2.42,1,1,1,45
Dmitri Samorukov,2.47,1,148,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cole Caufield,16.68,67,67055,189.87,15.75,13.77,327,43,14,32,27,199,51,9,7.02,6.01,2.72,12,10,1,259
Zdeno Chara,18.73,72,80921,74.78,3.06,4.57,172,14,5,14,45,110,2,2,2.19,0.26,0.61,2,0,0,114
Tyler Bozak,12.16,50,36493,41.58,3.71,2.52,73,12,2,20,13,39,13,4,1.17,1.51,1.03,0,3,0,56
Givani Smith,8.42,47,23736,48.75,4.18,3.01,83,8,2,7,8,49,9,6,1.52,1.09,1.57,2,0,2,64
Brett Connolly,8.40,9,4534,6.49,0.6,0.44,13,1,0,2,0,7,1,1,0.25,0.13,0.23,0,0,0,9
Egor Sokolov,10.37,8,4978,8.36,0.96,0.76,14,0,2,1,0,7,4,0,0.43,0.53,0,0,0,0,11
Max Jones,9.90,2,1188,1.93,0.06,0.13,4,0,0,0,2,3,0,0,0.06,0,0,0,0,0,3
Tomas Hertl,19.94,82,98106,212.18,29.02,16.46,364,64,17,65,31,153,91,37,5.31,11.44,12.27,5,14,11,281
Artem Zub,21.04,81,102254,85.36,3.79,5.28,194,22,8,14,60,120,4,3,2.47,0.48,0.84,5,0,1,127
Jan Rutta,16.39,76,74726,89.91,3.4,4.96,198,18,7,6,18,123,6,1,2.51,0.68,0.21,2,1,0,130
Mathieu Perreault,11.25,25,16882,25.67,3.63,1.85,46,9,0,10,8,21,10,4,0.61,1.3,1.72,2,0,2,35
Tanner Pearson,16.05,68,65504,141.2,16.43,10.52,242,34,16,22,15,136,43,18,4.81,5.18,6.43,4,5,5,197
Brayden Point,19.46,66,77069,191.23,26.43,16.83,291,58,10,33,24,136,95,22,5.65,11.76,9.02,5,11,12,253
Jesper Boqvist,13.13,56,44114,79.48,7.84,4.93,135,23,4,18,23,75,21,9,2.31,2.43,3.1,1,4,5,105
Nathan MacKinnon,21.06,65,82138,279.68,28.36,20.52,501,88,24,37,56,281,76,28,9.31,8.84,10.21,15,8,9,385
