name,minutes/game,games_played,icetime,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_shotAttempts,I_F_points,I_F_rebounds,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_unblockedShotAttempts
Mattias Norlinder,12.29,6,4425,1.29,0.07,0.1,3,1,0,0,0,2,0,0,0.07,0,0,0,0,0,2
Filip Zadina,14.18,74,62943,148.4,15.43,10.54,284,24,12,24,30,139,55,13,4.54,6.36,4.54,3,3,4,207
John Klingberg,22.21,74,98608,143.41,6.98,9.68,361,47,14,16,86,191,15,3,4.5,1.65,0.84,3,2,1,209
Nick Bonino,16.70,80,80159,133.56,13.86,9.96,211,26,15,50,15,122,45,14,3.52,5.43,4.91,6,6,4,181
Mike Matheson,18.80,74,83468,146.92,7.13,8.72,295,31,10,43,43,194,15,1,4.9,1.85,0.38,10,1,0,210
Travis Dermott,15.34,60,55209,47.05,3.05,3.09,100,7,2,7,26,57,10,1,1.48,1.24,0.33,1,1,0,68
Dominik Kubalik,14.52,78,67958,158.18,18.96,11.17,285,32,11,18,25,152,45,23,4.91,5.55,8.49,3,5,7,220
TJ Brodie,21.31,82,104852,67.15,3.26,3.93,158,28,4,30,62,86,10,1,1.82,1.22,0.22,3,0,1,97
Lucas Johansen,12.30,1,738,0.65,0.04,0.04,1,1,0,0,0,1,0,0,0.04,0,0,0,0,0,1
MacKenzie Entwistle,10.25,55,33815,35.07,4.63,2.67,54,12,5,9,10,21,19,6,0.61,2.49,1.53,0,3,2,46
Jesse Ylonen,11.57,14,9715,15.98,1.18,0.95,27,5,5,2,3,17,3,1,0.49,0.4,0.29,1,1,0,21
Yegor Chinakhov,12.50,62,46511,105.05,7.4,6.71,189,14,11,19,19,111,29,3,3.4,3.33,0.68,2,5,0,143
Michael McLeod,13.33,77,61566,77.89,7.04,4.62,126,20,4,46,28,77,25,4,2.36,2.97,1.7,1,3,2,106
Joe Snively,11.56,12,8321,20.98,3.16,1.6,35,7,3,7,1,14,10,3,0.49,1.09,1.58,0,2,2,27
Gerry Mayhew,13.18,40,31621,58.76,6.58,4.2,103,12,5,9,7,42,34,4,1.36,4.15,1.06,6,5,0,80
Mathew Barzal,18.02,73,78926,154.69,15.65,11.43,252,59,9,43,82,145,47,16,4.89,6.05,4.7,7,6,2,208
Brian Dumoulin,21.82,76,99490,90.85,3.9,5.56,185,18,7,34,46,128,6,1,2.7,0.84,0.35,3,0,0,135
Justin Danforth,12.57,45,33942,77.91,8.64,5.39,131,14,6,15,2,68,26,12,2.17,3.21,3.27,0,2,8,106
Klim Kostin,9.02,40,21636,31.23,2.76,2.18,60,9,4,9,16,29,13,2,0.92,1.41,0.43,3,1,0,44
Brad Malone,8.28,8,3974,6.94,0.68,0.43,11,2,1,0,2,6,2,1,0.23,0.25,0.2,1,0,0,9
Cole Perfetti,14.15,18,15280,24.66,2.88,1.83,48,7,1,7,5,21,12,1,0.71,1.73,0.44,1,1,0,34
Liam O'Brien,9.48,39,22177,37.06,3.97,2.62,67,3,5,6,8,33,14,4,1.16,1.45,1.36,1,0,1,51
Cody Glass,11.41,8,5476,8.28,0.94,0.6,15,1,0,1,2,7,4,1,0.27,0.41,0.27,0,0,0,12
Anton Blidh,10.73,32,20593,26.69,2.56,1.69,46,9,5,6,6,26,7,3,0.8,0.95,0.81,2,0,0,36
Ryan Lomberg,11.41,55,37641,89.57,9.36,6.12,162,18,7,18,9,85,30,8,3.14,3.54,2.67,4,3,2,123
Ryan Ellis,22.80,4,5473,5.48,0.2,0.31,13,5,0,2,5,7,1,0,0.1,0.1,0,0,1,0,8
