,name,minutes/game,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_shotAttempts,I_F_points,I_F_rebounds,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_unblockedShotAttempts
0,Kaiden Guhle,20.61142857,46.9,2.34,2.77,102,10,2,12,26,61,5,1,1.39,0.65,0.31,1,1,1,67
1,Curtis Lazar,12.4989899,33.72,3.31,2.27,61,13,2,10,6,33,9,4,0.99,1.21,1.11,2,0,2,46
2,Ilya Lyubushkin,17.21923077,30.62,1.85,1.71,64,4,2,14,18,38,4,1,0.9,0.56,0.4,0,0,0,43
3,Josh Norris,18.54114583,80.33,9.23,5.35,147,20,5,11,22,71,28,9,2.21,3.3,3.73,1,6,5,108
4,Brett Kulak,14.78703704,38.71,1.71,2.0,88,4,2,7,16,52,1,2,1.17,0.1,0.44,2,0,0,55
5,Auston Matthews,21.43796296,180.99,24.67,13.8,311,45,18,36,22,146,66,30,5.45,8.12,11.09,14,8,8,242
6,Aleksander Barkov,19.26712963,118.07,15.35,8.12,199,43,16,29,19,100,42,17,2.81,5.32,7.22,2,4,5,159
7,Adam Henrique,16.82719298,77.25,11.39,5.59,137,20,7,17,5,65,22,20,1.94,2.7,6.75,1,0,9,107
8,Brett Murray,7.966666667,0.9,0.32,0.07,1,0,0,1,0,0,0,1,0.0,0.0,0.32,0,0,0,1
9,MacKenzie Entwistle,11.29892473,32.04,3.0,2.1,61,5,2,18,6,32,10,3,0.9,1.25,0.84,2,0,0,45
10,Colton Sissons,16.82583333,76.87,11.62,6.61,130,21,11,16,11,54,35,16,1.92,4.6,5.1,0,6,6,105
11,Clayton Keller,19.2504386,109.48,12.52,7.55,196,32,9,21,20,113,26,14,3.26,3.06,6.19,4,3,6,153
12,Matthew Knies,14.49904762,56.71,6.94,4.21,87,14,7,17,13,42,27,7,1.64,3.44,1.85,2,4,2,76
13,Quinn Hughes,24.49291667,99.78,5.43,6.21,266,50,12,21,26,133,6,4,3.04,0.68,1.71,7,1,2,143
14,Alexis Lafrenire,17.16538462,105.28,11.71,7.32,180,25,7,24,13,94,37,13,3.42,4.54,3.75,2,6,2,144
15,Tyler Seguin,16.83974359,83.42,9.76,6.07,154,31,6,10,14,67,32,12,2.21,4.16,3.38,4,5,6,111
16,Matt Duchene,17.13333333,95.52,12.36,7.06,176,35,10,19,22,80,36,13,3.3,4.5,4.56,4,3,4,129
