,name,minutes/game,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_shotAttempts,I_F_points,I_F_rebounds,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_unblockedShotAttempts
17,Connor Murphy,19.86583333,41.13,1.26,2.07,95,7,3,12,24,57,1,1,0.94,0.12,0.2,0,1,0,59
18,Filip Forsberg,18.64791667,168.59,16.54,11.53,321,45,22,30,45,165,43,19,4.89,5.52,6.14,6,10,5,227
19,Erik Johnson,14.20185185,34.14,1.27,1.59,70,3,1,2,10,44,2,0,0.99,0.27,0.0,3,0,0,46
20,Oskar Olausson,11.83333333,1.5,0.03,0.07,2,0,0,0,0,2,0,0,0.03,0.0,0.0,0,0,0,2
21,Rasmus Dahlin,24.94871795,110.71,7.3,7.06,226,32,12,22,28,139,11,7,3.69,1.19,2.43,8,1,3,157
22,Brandon Montour,23.14202899,59.05,2.84,3.59,162,8,5,6,10,81,1,3,1.66,0.09,1.1,0,1,0,85
23,Hendrix Lapierre,9.911666667,21.35,1.53,1.43,34,6,1,5,5,23,7,0,0.67,0.86,0.0,1,1,0,30
24,Pat Maroon,13.04529915,48.38,5.75,3.5,89,14,5,10,15,42,13,9,1.41,1.57,2.77,1,1,2,64
25,Jake DeBrusk,16.87938596,89.99,11.26,6.6,161,19,9,12,9,78,28,16,2.43,3.52,5.31,0,3,5,122
26,Jayden Struble,14.59047619,15.8,0.86,0.85,40,4,1,6,10,21,1,1,0.45,0.1,0.31,1,1,0,23
27,Braden Schneider,15.26153846,40.97,1.68,2.2,88,10,10,12,16,53,4,0,1.15,0.53,0.0,3,0,0,57
28,Nick Jensen,19.01447368,38.61,1.09,1.94,85,6,0,10,37,54,1,0,0.97,0.12,0.0,0,0,0,55
29,Brock Nelson,17.46965812,125.03,15.08,9.32,216,33,12,18,16,106,44,20,3.62,5.18,6.27,7,4,6,170
30,Nick Seeler,17.1625,44.02,1.28,2.1,103,7,3,5,12,62,1,0,1.18,0.1,0.0,0,0,0,63
31,Lukas Cormier,19.76666667,0.59,0.13,0.06,3,1,0,0,0,0,1,0,0.0,0.13,0.0,0,0,0,1
32,Parker Wotherspoon,16.5625,8.56,0.25,0.47,24,2,1,5,6,13,0,0,0.25,0.0,0.0,0,0,0,13
33,Michael Kesselring,14.02539683,27.71,0.95,1.41,55,9,1,3,5,38,1,0,0.85,0.1,0.0,3,1,0,39
34,Ryan McLeod,14.59444444,59.52,6.89,3.97,95,15,7,19,24,53,19,7,2.0,2.43,2.46,1,4,2,79
35,Matt Savoie,3.916666667,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
36,Max Domi,12.76036036,56.78,5.27,3.63,105,22,7,12,17,59,13,6,1.46,1.67,2.14,0,1,2,78
37,Lawson Crouse,17.09189189,87.15,12.34,6.27,158,24,10,12,16,68,35,15,2.55,4.27,5.52,4,8,4,118
38,Dmitri Voronkov,13.24428571,51.53,7.15,4.24,85,20,7,3,5,40,22,9,1.44,2.68,3.03,1,3,3,71
39,Troy Terry,18.09259259,93.22,9.73,6.15,168,23,3,24,27,90,25,11,3.16,3.07,3.49,3,4,2,126
40,Trevor van Riemsdyk,18.39242424,33.62,1.27,1.54,81,6,4,9,12,44,1,1,0.83,0.13,0.31,0,0,0,46
41,Yegor Chinakhov,15.12833333,69.24,5.09,4.16,135,17,2,18,6,79,12,3,2.63,1.57,0.88,5,3,2,94
42,Kris Letang,24.59957265,84.17,3.4,3.99,200,26,10,17,30,110,4,2,2.2,0.44,0.76,2,1,0,116
43,Pius Suter,15.47115385,39.16,5.94,2.85,73,12,6,10,2,35,12,8,1.25,1.46,3.23,4,1,3,55
44,Fraser Minten,11.43333333,4.94,0.68,0.4,11,0,1,0,2,4,1,2,0.07,0.14,0.48,0,0,0,7
45,Simon Holmstrom,13.21491228,43.34,4.9,2.99,73,16,1,24,14,34,18,5,1.19,2.5,1.21,4,5,2,57
46,William Nylander,20.26216216,158.87,16.06,11.55,284,54,16,37,22,164,36,18,5.14,4.01,6.91,10,6,5,218
47,Tyler Tucker,12.52,8.48,0.26,0.44,23,2,1,6,4,11,1,0,0.18,0.09,0.0,0,1,0,12
48,Mark Giordano,17.58666667,29.24,0.77,1.7,86,6,1,8,12,43,1,0,0.65,0.11,0.0,0,1,0,44
49,Jesper Bratt,19.13684211,116.08,14.4,8.14,207,44,12,23,19,95,45,14,2.95,5.75,5.69,4,5,5,154
50,David Pastrnak,19.81324786,192.18,18.57,13.67,363,56,18,27,38,201,46,17,6.23,5.63,6.7,8,6,10,264
51,Radim Zohorna,10.33563218,38.88,4.68,3.05,65,7,5,13,6,28,17,5,1.04,2.34,1.29,1,2,1,50
52,Pavel Buchnevich,19.75416667,110.3,13.02,7.83,183,29,7,25,26,103,30,17,3.06,3.69,6.28,3,3,6,150
53,Matthew Highmore,7.977777778,3.32,0.45,0.22,4,1,1,0,2,2,1,1,0.04,0.13,0.28,0,0,0,4
54,Vincent Trocheck,20.89700855,116.99,14.5,9.12,201,40,17,23,21,110,38,16,3.99,4.7,5.8,4,3,5,164
55,Vladislav Gavrikov,20.02258065,38.16,2.05,2.0,81,10,4,7,20,48,4,2,1.02,0.48,0.55,1,1,1,54
56,Michael Rasmussen,15.2575,63.43,9.59,4.49,95,17,9,7,5,48,21,13,1.65,2.66,5.28,4,3,2,82
57,Sam Reinhart,20.30128205,116.48,21.23,8.7,198,50,18,17,11,97,29,30,3.12,3.6,14.51,2,11,15,156
58,Jack Quinn,15.8,20.29,2.4,1.49,31,5,0,5,4,17,8,3,0.56,1.14,0.69,2,2,0,28
59,Dryden Hunt,12.74583333,8.82,1.06,0.65,14,0,2,0,2,8,0,4,0.15,0.0,0.91,0,0,0,12
60,Mason Marchment,14.69700855,86.39,10.21,5.97,144,30,9,27,25,79,26,13,2.63,3.36,4.22,5,4,4,118
61,Ryan O'Reilly,19.90708333,92.57,16.18,8.07,143,35,14,36,14,56,47,20,1.74,5.93,8.52,1,4,10,123
62,Nils Hoglander,11.21710526,52.44,7.96,3.86,81,17,4,20,12,37,18,15,1.1,2.05,4.81,4,5,3,70
63,Brandon Hagel,18.88943089,101.06,16.51,7.55,172,32,12,16,27,75,35,24,3.3,4.69,8.52,3,4,4,134
64,Nick DeSimone,12.00277778,15.0,0.37,0.68,39,5,3,2,8,21,0,0,0.37,0.0,0.0,1,0,0,21
65,Paul Cotter,12.32708333,58.51,6.89,4.21,103,15,7,17,8,54,19,7,2.14,2.22,2.53,4,0,1,80
66,Phillip Di Giuseppe,13.06614583,42.27,4.59,2.82,68,8,1,3,2,40,8,8,0.94,1.06,2.59,0,2,1,56
67,Tyler Bertuzzi,15.95630631,82.08,10.84,5.62,148,18,5,20,21,65,26,18,1.89,3.19,5.77,0,4,2,109
68,Jon Merrill,13.24310345,17.91,0.78,0.97,39,4,2,4,9,24,2,0,0.54,0.23,0.0,1,0,0,26
69,Ryan Johnson,14.00909091,22.11,0.68,1.1,45,2,0,9,5,29,2,0,0.44,0.23,0.0,0,0,0,31
70,Mattias Samuelsson,20.70138889,38.88,1.14,2.0,82,7,1,7,23,53,2,0,0.91,0.23,0.0,0,1,0,55
71,Juraj Slafkovsky,16.47649573,67.88,9.12,5.44,139,14,8,13,15,59,27,9,2.38,3.26,3.48,0,1,3,95
72,Martin Pospisil,11.9,51.51,5.8,3.7,85,9,2,12,6,43,19,7,1.47,2.19,2.15,1,1,2,69
73,Robert Thomas,20.83421053,85.32,12.12,6.52,146,41,8,32,23,69,29,15,2.49,3.79,5.85,6,5,5,113
74,Anders Lee,15.34316239,106.12,18.27,8.73,165,17,14,16,8,62,46,31,2.4,6.15,9.72,2,4,5,139
75,Jake Neighbours,14.64035088,67.98,9.08,5.43,116,14,5,18,2,55,26,12,2.01,3.18,3.9,2,7,3,93
76,Ilya Solovyov,14.975,7.23,0.25,0.35,19,2,1,0,2,9,1,0,0.1,0.15,0.0,0,0,0,10
77,Cole Koepke,6.791666667,8.35,1.3,0.67,13,2,1,2,0,7,2,2,0.28,0.31,0.7,0,0,0,11
78,Michael Pezzetta,7.872619048,28.31,2.52,1.63,57,7,4,1,9,31,7,2,0.75,0.94,0.84,0,0,1,40
79,Nick Perbix,16.55598291,24.65,0.65,1.21,59,9,2,19,13,36,0,0,0.65,0.0,0.0,0,0,0,36
80,Frederick Gaudreau,14.57816092,50.99,3.23,3.06,87,9,2,8,13,60,9,1,1.81,1.08,0.34,1,2,0,70
81,James Hamblin,8.219871795,16.9,2.34,1.32,33,3,1,6,5,11,8,3,0.41,1.06,0.87,0,2,0,22
82,Owen Power,22.31708333,57.76,3.63,3.88,113,16,9,11,23,70,9,2,1.96,1.12,0.56,1,1,0,81
83,Matt Coronato,13.85757576,31.02,3.26,2.16,48,2,3,2,3,32,5,5,0.88,0.57,1.81,0,0,1,42
84,Mikey Anderson,21.32453704,49.62,2.13,2.55,113,12,4,8,12,65,4,1,1.28,0.62,0.23,0,1,0,70
85,Beck Malenstyn,14.11315789,46.62,4.78,3.06,83,10,3,14,10,42,16,6,1.11,2.12,1.55,2,0,2,64
86,Tanner Jeannot,12.59634146,58.27,8.59,4.92,95,12,12,5,14,36,31,9,1.22,4.28,3.09,1,4,1,76
87,Austin Czarnik,8.731481481,13.27,1.17,0.76,21,1,0,3,0,13,4,1,0.41,0.46,0.3,0,0,0,18
88,Ryan Hartman,15.91323529,87.87,11.09,6.17,157,19,6,19,23,80,27,12,2.63,3.66,4.8,0,5,6,119
89,Yanni Gourde,17.90384615,86.4,9.07,6.01,149,15,11,32,12,82,24,11,2.78,2.91,3.38,3,0,3,117
90,Josh Brown,14.245,14.08,0.62,0.66,28,3,2,1,2,18,1,1,0.29,0.09,0.24,0,0,1,20
91,Jarred Tinordi,15.48968254,13.98,0.34,0.59,30,6,1,1,7,20,0,0,0.34,0.0,0.0,0,0,0,20
92,Sam Lafferty,12.83541667,43.64,5.85,3.24,74,18,6,9,14,32,18,9,1.09,2.22,2.55,2,3,4,59
93,Yakov Trenin,15.32236842,70.01,8.37,4.73,122,9,4,17,24,62,19,12,1.84,2.31,4.22,1,3,3,93
94,Evan Rodrigues,16.17692308,90.45,9.37,6.53,169,26,19,13,12,84,22,14,1.97,2.79,4.61,3,2,2,120
95,William Lockwood,8.574509804,13.48,1.08,0.74,25,0,1,5,3,16,1,2,0.34,0.09,0.65,0,0,0,19
96,Kyle Okposo,13.97807018,63.3,7.65,4.3,111,14,5,12,7,54,22,8,1.82,3.0,2.83,4,2,2,84
97,Marcus Pettersson,22.51666667,59.12,2.37,3.08,127,14,5,12,18,77,6,0,1.61,0.76,0.0,0,0,0,83
98,Isak Rosen,8.585714286,5.97,0.91,0.45,11,0,0,2,0,4,3,1,0.07,0.39,0.46,0,0,0,8
99,Jordan Harris,18.0280303,21.62,0.75,1.15,43,5,3,3,12,30,1,0,0.66,0.09,0.0,1,0,0,31
100,Alec Martinez,18.71014493,35.3,1.55,1.96,78,5,1,9,14,48,2,1,1.11,0.2,0.23,4,0,0,51
101,Brayden Schenn,17.27894737,83.29,11.18,5.87,143,16,3,28,23,77,22,14,2.72,2.68,5.78,3,3,2,113
102,Valeri Nichushkin,21.79529915,131.93,21.1,10.65,206,40,10,17,18,96,48,32,3.23,6.09,11.79,2,7,11,176
103,Matt Martin,9.237037037,14.55,2.1,1.18,23,3,2,6,5,9,8,3,0.33,0.9,0.87,0,0,2,20
104,Morgan Frost,15.21724138,49.88,5.03,4.05,97,13,4,8,8,48,16,6,1.25,2.01,1.77,2,2,2,70
105,Ryan Graves,19.54444444,46.81,1.9,2.61,116,7,3,12,23,64,4,0,1.38,0.51,0.0,1,1,0,68
106,Erik Cernak,19.34234234,29.3,1.26,1.59,73,5,2,5,18,41,1,1,0.75,0.11,0.41,0,0,0,43
107,Anthony Duclair,15.98518519,64.49,8.16,5.12,115,13,11,15,11,51,26,8,1.86,3.45,2.86,3,4,0,85
108,Jack Drury,11.14916667,55.1,4.77,3.41,106,17,1,12,6,54,16,5,1.48,1.89,1.4,0,3,3,75
109,Noah Hanifin,23.31708333,82.41,3.97,5.32,193,19,8,25,37,112,3,4,2.41,0.29,1.27,3,1,2,119
110,Lukas Rousek,11.22666667,2.1,0.19,0.13,4,0,0,1,0,2,1,0,0.07,0.12,0.0,0,0,0,3
111,William Karlsson,17.63508772,98.46,11.81,7.59,159,32,12,21,22,82,32,16,2.46,4.01,5.33,6,4,5,130
112,Philipp Kurashev,18.91313131,59.61,8.27,3.9,120,23,9,16,17,56,14,10,1.88,1.82,4.57,2,1,5,80
113,John Marino,20.88947368,28.88,2.04,1.81,73,12,2,22,11,34,3,3,0.75,0.46,0.82,0,1,0,40
114,Sebastian Aho,15.95,34.91,1.03,1.94,74,5,5,3,6,49,1,0,0.92,0.12,0.0,1,0,0,50
115,Tomas Nosek,9.361111111,3.71,0.11,0.17,8,0,0,4,2,5,0,0,0.11,0.0,0.0,0,0,0,5
116,Marin Studenic,8.108333333,1.77,0.13,0.17,2,0,0,0,0,1,1,0,0.04,0.09,0.0,0,0,0,2
117,Philip Tomasino,12.6890625,49.85,5.51,3.84,91,15,9,10,23,42,21,6,1.49,2.58,1.44,2,1,1,69
118,Nils Aman,10.67254902,10.79,2.0,0.81,17,5,3,2,0,6,5,3,0.27,0.82,0.92,0,1,1,14
119,Mathieu Olivier,9.861111111,20.79,2.35,1.68,33,5,2,3,1,13,16,0,0.34,2.01,0.0,0,1,0,29
120,Vasily Ponomarev,9.675,0.75,0.05,0.04,1,2,0,1,0,1,0,0,0.05,0.0,0.0,1,0,0,1
121,Adam Raska,7.15,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
122,Trent Frederic,13.46153846,55.7,7.39,4.13,104,21,10,3,10,43,23,9,1.43,3.04,2.92,6,2,4,75
123,Max Pacioretty,13.06666667,6.4,0.23,0.37,11,1,1,2,3,9,0,0,0.23,0.0,0.0,0,0,0,9
124,Artem Zub,20.81130952,36.04,2.19,1.59,79,11,6,6,14,49,0,3,0.87,0.0,1.32,2,0,1,52
125,Seth Jarvis,18.97666667,98.55,17.53,7.72,162,28,11,26,15,68,39,25,2.42,4.35,10.76,3,3,8,132
126,Filip Chytil,15.93,23.05,1.34,1.54,40,6,2,3,2,29,4,0,0.83,0.5,0.0,0,0,0,33
127,Ian Mitchell,15.30769231,8.82,0.52,0.48,21,2,1,0,1,11,1,1,0.17,0.12,0.24,0,0,0,13
128,Callahan Burke,7.1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
129,Jiri Smejkal,9.485185185,8.15,1.36,0.61,16,1,1,3,3,7,1,3,0.22,0.16,0.98,0,0,0,11
130,Rasmus Andersson,24.38101852,89.69,4.38,5.59,189,22,6,12,20,116,9,3,2.34,1.1,0.94,2,2,2,128
131,Nikita Kucherov,21.76916667,190.25,16.59,12.71,352,67,13,33,56,199,47,12,6.09,5.97,4.53,11,10,7,258
132,Erik Haula,15.86818182,63.1,8.66,4.5,110,20,9,11,12,50,20,14,1.47,2.49,4.7,3,4,2,84
133,Brendan Gaunce,10.94285714,12.41,1.18,0.96,19,3,2,1,1,14,3,1,0.56,0.36,0.26,0,1,0,18
134,Matt Nieto,11.61136364,17.73,2.0,1.19,27,4,1,4,4,14,6,3,0.38,0.77,0.85,0,0,1,23
135,Philip Broberg,10.52666667,4.33,0.15,0.23,10,0,0,2,2,6,0,0,0.15,0.0,0.0,0,0,0,6
136,Barclay Goodrow,12.57387387,31.8,5.57,2.08,58,4,2,14,7,24,8,10,0.77,1.02,3.79,0,0,1,42
137,Martin Necas,17.49298246,98.57,10.45,6.29,197,26,10,14,13,98,22,14,3.03,2.46,4.97,2,2,5,134
138,Jan Jenik,8.35,0.66,0.01,0.02,2,0,0,0,0,1,0,0,0.01,0.0,0.0,0,0,0,1
139,Juuso Parssinen,14.94078947,47.96,7.45,4.19,87,9,3,12,15,32,22,11,1.05,2.76,3.64,1,2,3,65
140,Taylor Hall,16.33,21.83,1.47,1.57,44,4,5,5,3,29,1,1,0.99,0.1,0.38,1,0,1,31
141,Robert Bortuzzo,13.66666667,7.63,0.2,0.37,13,0,3,3,3,11,0,0,0.2,0.0,0.0,0,0,0,11
142,Sonny Milano,12.19855072,18.8,2.08,1.41,39,8,2,8,13,14,11,0,0.57,1.51,0.0,3,1,0,25
143,Oskar Sundqvist,13.2245614,49.61,6.84,3.49,76,14,5,17,8,43,13,11,1.37,1.67,3.81,1,0,2,67
144,Mackenzie MacEachern,7.86875,4.25,0.23,0.21,6,1,0,2,1,6,0,0,0.23,0.0,0.0,0,0,0,6
145,John Klingberg,20.55119048,16.97,0.96,0.99,52,5,1,7,12,24,0,1,0.45,0.0,0.51,0,0,0,25
146,Jamie Oleksiak,19.71752137,44.51,2.15,2.39,96,8,3,16,18,58,4,1,1.31,0.42,0.43,2,0,0,63
147,Tyson Barrie,18.12611111,40.9,2.2,2.54,101,11,5,2,10,49,8,1,0.97,0.94,0.29,0,1,0,58
148,Nico Sturm,14.58141026,29.96,4.1,1.88,53,4,2,8,5,24,11,6,0.83,1.45,1.82,0,1,1,41
149,Ty Dellandrea,12.01140351,16.02,1.89,1.3,31,2,3,6,2,15,7,2,0.52,0.78,0.59,1,0,0,24
150,Evgeni Malkin,18.94316239,113.64,15.38,8.71,226,35,13,38,38,99,41,15,3.47,5.07,6.85,8,5,2,155
151,Lucas Johansen,14.26666667,4.31,0.15,0.25,9,1,0,3,2,6,0,0,0.15,0.0,0.0,0,0,0,6
152,Marco Scandella,12.79398148,24.96,0.92,1.32,56,5,2,11,9,33,2,0,0.62,0.29,0.0,1,1,0,35
153,Jack Studnicka,10.76309524,17.59,1.37,0.96,28,1,0,2,5,17,4,2,0.39,0.54,0.43,0,1,0,23
154,Thomas Harley,19.17083333,59.36,3.43,3.21,136,19,2,15,22,74,5,3,1.99,0.64,0.8,3,3,3,82
155,Michael McCarron,12.14444444,41.56,5.32,3.44,71,9,4,8,12,35,22,4,1.35,2.88,1.1,2,1,3,61
156,Anthony Cirelli,18.02041667,77.66,9.73,5.7,123,17,9,25,11,52,39,11,1.83,4.95,2.95,0,6,2,102
157,Brad Marchand,19.42222222,112.63,14.19,7.78,195,37,5,23,34,98,37,16,3.14,4.53,6.53,6,5,6,151
158,Sam Gagner,10.93148148,32.88,2.75,2.38,57,9,4,0,5,38,6,4,0.99,0.67,1.1,2,1,1,48
159,Gustav Nyquist,17.19875,82.92,10.74,6.06,130,32,13,11,20,74,22,15,2.44,2.84,5.46,2,5,3,111
160,Josh Mahura,12.62156863,14.34,0.63,0.85,28,5,0,1,3,20,1,0,0.54,0.09,0.0,0,0,0,21
161,Derek Forbort,18.3625,19.82,0.53,0.99,42,4,1,3,5,29,0,0,0.53,0.0,0.0,0,0,0,29
162,Tyler Kleven,11.02,3.14,0.06,0.2,5,1,0,1,3,5,0,0,0.06,0.0,0.0,0,0,0,5
163,Eeli Tolvanen,16.02051282,87.68,9.04,6.26,177,24,10,17,13,89,20,12,2.8,2.43,3.81,3,5,2,121
164,Cole Sillinger,14.62731481,72.54,8.99,5.0,119,17,6,7,7,63,26,10,2.11,3.25,3.63,2,4,1,99
165,Charlie McAvoy,24.43494624,58.93,4.07,3.98,123,26,7,8,23,72,9,3,1.98,1.14,0.95,1,3,0,84
166,David Jiricek,14.75285714,33.38,1.29,1.91,74,9,3,8,13,45,2,1,0.87,0.21,0.22,1,0,0,48
167,Jason Dickinson,15.95791667,63.22,6.11,4.23,117,20,5,32,19,68,15,7,2.5,1.62,1.99,4,6,3,90
168,Nino Niederreiter,15.27478632,84.02,11.62,5.93,145,24,10,8,11,75,23,16,2.4,3.1,6.12,2,4,6,114
169,Kaapo Kakko,13.54583333,24.53,2.13,1.62,43,3,2,8,7,22,8,2,0.52,1.06,0.55,0,1,1,32
170,Angus Crookshank,8.826190476,6.08,0.3,0.5,14,2,0,1,2,9,1,0,0.2,0.1,0.0,1,0,0,10
171,Vladislav Namestnikov,15.21064815,51.87,6.18,3.92,94,23,6,6,6,47,22,5,1.59,2.51,2.08,1,2,2,74
172,Ross Johnston,7.47202381,18.69,2.21,1.45,31,2,2,6,2,17,6,4,0.47,0.66,1.08,0,0,0,27
173,Matthew Phillips,10.3275641,18.23,3.52,1.45,32,5,6,4,4,9,6,8,0.35,0.79,2.38,0,1,0,23
174,Sam Malinski,14.26444444,19.87,0.77,0.95,44,6,2,4,4,26,1,1,0.44,0.12,0.21,2,0,0,28
175,Travis Sanheim,24.62863248,77.78,5.22,5.2,159,25,6,20,29,96,6,6,2.93,0.74,1.54,2,1,1,108
176,Dakota Mermis,15.03768116,24.95,0.97,1.42,66,6,3,4,9,35,1,0,0.83,0.15,0.0,1,1,0,36
177,Leo Carlsson,18.04782609,46.95,5.51,3.43,76,15,7,14,15,42,14,7,1.53,1.66,2.32,3,3,2,63
178,Jack McBain,12.30217391,23.3,3.73,1.84,40,10,6,5,5,15,9,6,0.69,1.08,1.96,0,2,4,30
179,Jason Robertson,18.14487179,115.82,10.88,8.71,229,40,11,25,26,122,27,12,3.71,3.2,3.98,7,3,4,161
180,Boone Jenner,19.29482759,83.57,8.84,6.8,140,18,12,12,10,81,24,12,2.37,3.16,3.31,2,9,2,117
181,Michael Eyssimont,11.475,82.18,5.96,5.42,150,12,7,16,12,90,17,4,2.65,2.13,1.18,3,3,0,111
182,Cam York,22.545,56.51,3.67,3.92,120,14,5,11,21,71,6,3,1.68,0.85,1.13,5,0,0,80
183,Moritz Seider,22.27541667,64.75,4.1,3.77,146,23,2,17,16,83,4,5,1.71,0.47,1.92,1,1,3,92
184,Dmitry Orlov,16.73291667,61.79,2.53,3.77,151,15,5,13,14,85,5,0,2.02,0.51,0.0,2,0,0,90
185,Rhett Gardner,7.466666667,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
186,Alexander Barabanov,16.55583333,32.69,3.81,2.73,54,7,3,5,7,31,10,4,1.3,1.36,1.16,2,1,0,45
187,John Beecher,10.44305556,23.78,2.71,1.61,37,7,1,10,6,22,4,5,0.76,0.56,1.38,4,0,1,31
188,Spencer Stastney,16.01851852,4.68,0.23,0.32,13,1,0,3,6,7,0,0,0.23,0.0,0.0,1,0,0,7
189,Sam Carrick,12.92264957,51.06,5.13,3.19,85,8,4,10,11,53,12,6,1.25,1.4,2.48,1,2,3,71
190,Max Jones,11.75784314,53.51,6.33,3.99,88,8,7,9,7,46,21,6,1.63,2.68,2.01,0,3,1,73
191,Andreas Athanasiou,12.7530303,17.58,1.4,1.21,38,4,0,6,2,15,8,0,0.34,1.06,0.0,0,0,0,23
192,Matthew Tkachuk,18.86923077,142.57,17.57,11.79,240,34,20,19,27,122,45,22,3.81,5.33,8.43,2,3,3,189
193,Tyler Motte,12.43817204,48.24,3.77,2.95,94,4,3,20,6,52,12,2,1.46,1.56,0.75,0,2,0,66
194,Andrei Svechnikov,16.92333333,70.57,6.69,4.64,133,26,8,9,14,73,19,6,2.2,2.25,2.24,1,4,4,98
195,Oskar Steen,9.003472222,23.08,2.06,1.36,40,1,2,2,1,23,6,2,0.77,0.73,0.56,1,0,0,31
196,Ryan Strome,15.83472222,66.9,7.62,4.86,108,20,13,15,20,57,19,12,1.65,2.26,3.71,0,0,3,88
197,Ilya Mikheyev,14.70324074,72.97,8.7,5.27,118,21,6,8,10,59,31,9,2.1,3.94,2.67,3,6,1,99
198,Jonathan Drouin,16.17521368,60.97,7.83,4.53,113,21,6,17,17,53,22,7,1.81,2.74,3.29,1,5,3,82
199,Nick Suzuki,21.11965812,94.02,9.93,6.72,153,34,8,19,25,94,20,12,3.11,2.58,4.24,7,2,3,126
200,Jimmy Vesey,12.20945946,59.82,6.85,4.39,97,13,7,16,8,51,22,7,1.86,2.59,2.39,2,4,2,80
201,Sidney Crosby,19.96923077,142.74,21.0,10.37,239,41,11,33,31,117,49,29,4.03,5.96,11.0,7,4,11,195
202,Casey Mittelstadt,18.82166667,63.43,8.92,4.43,115,33,7,27,25,54,21,9,1.83,2.41,4.69,5,2,4,84
203,Ryan Suter,19.85598291,61.02,2.19,3.13,126,7,3,8,16,84,1,1,1.88,0.1,0.21,1,0,0,86
204,Damon Severson,21.13333333,33.45,2.0,1.89,76,12,0,12,12,41,3,2,1.16,0.29,0.55,3,1,1,46
205,Connor Bedard,19.06752137,125.2,11.09,8.92,220,33,12,31,32,132,29,10,4.29,3.62,3.19,8,6,1,171
206,Jakub Lauko,9.41547619,18.02,1.6,1.26,38,3,1,4,4,18,6,1,0.6,0.8,0.2,0,0,0,25
207,Nicolas Hague,18.83802083,53.79,1.78,2.79,122,7,6,7,15,74,3,0,1.48,0.3,0.0,1,0,0,77
208,J.T. Compher,19.21,50.22,7.35,4.4,81,24,9,11,17,34,19,12,1.08,2.41,3.85,2,3,4,65
