,name,minutes/game,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_shotAttempts,I_F_points,I_F_rebounds,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_unblockedShotAttempts
353,Jordan Greenway,14.56,107.0,14.37,7.87,166,27,12,14,16,93,33,19,3.17,3.69,7.52,1,2,7,145
354,Adam Henrique,17.42,141.2,19.56,10.26,233,42,16,18,20,120,55,19,4.27,7.24,8.05,4,9,6,194
355,Justin Bailey,9.08,11.82,0.57,0.7,25,0,0,7,4,16,1,0,0.45,0.12,0.0,0,0,0,17
356,Justin Faulk,23.2,152.69,9.99,9.42,318,47,10,37,40,194,19,6,4.89,2.23,2.87,9,3,4,219
357,Christopher Tanev,20.45,89.94,3.21,4.65,180,28,8,29,57,124,4,1,2.32,0.55,0.34,4,2,0,129
358,Jordie Benn,14.98,35.55,1.36,2.08,77,8,2,6,15,51,3,0,1.05,0.31,0.0,0,1,0,54
359,Brandon Carlo,19.71,107.43,3.69,6.23,213,15,4,32,25,156,6,0,3.04,0.65,0.0,5,1,0,162
360,Quinton Byfield,12.16,45.99,5.56,3.67,77,10,3,15,14,33,26,4,1.25,3.25,1.06,3,1,1,63
361,Jonathan Dahlen,13.79,102.69,13.77,8.32,178,22,9,21,23,73,47,17,2.56,5.88,5.34,3,2,7,137
362,Vladimir Tarasenko,16.91,223.92,25.26,16.92,382,82,13,17,31,199,91,15,8.08,10.85,6.33,8,16,10,305
363,Kyle Clifford,8.8,26.57,2.12,1.72,44,4,2,5,5,28,6,2,0.89,0.75,0.48,1,0,0,36
364,Rickard Rakell,17.99,193.65,17.81,14.07,342,41,9,28,34,192,58,15,6.3,6.81,4.7,5,9,6,265
365,Milan Lucic,12.26,99.19,11.68,7.34,171,21,8,20,41,103,24,12,3.61,3.17,4.9,4,4,2,139
366,Adam Lowry,15.48,118.6,18.35,9.05,194,21,14,39,23,79,61,23,2.85,8.17,7.32,3,6,4,163
367,Alexandre Carrier,20.98,91.22,5.57,6.02,188,30,8,27,39,117,16,2,2.95,1.8,0.82,1,1,1,135
368,Gabriel Carlsson,12.27,15.02,0.68,0.87,38,9,1,7,4,20,2,0,0.47,0.21,0.0,2,0,0,22
369,Haydn Fleury,16.08,53.5,2.81,3.16,118,4,4,7,19,71,5,2,1.23,0.58,1.0,1,0,1,78
370,Mario Ferraro,23.0,52.85,2.32,3.18,108,14,2,31,35,72,5,0,1.71,0.61,0.0,1,1,0,77
371,Jake McCabe,20.31,76.33,4.42,4.31,180,22,4,18,60,100,8,3,2.05,0.79,1.58,2,0,2,111
372,Dean Kukan,16.29,38.54,2.51,2.44,76,11,2,9,14,48,6,2,1.18,0.71,0.62,1,0,2,56
373,Michael Bunting,15.54,183.2,25.16,15.31,296,63,17,36,23,118,97,27,4.54,12.24,8.37,6,10,7,242
374,K'Andre Miller,20.6,95.54,5.11,5.98,221,20,5,59,37,125,11,4,2.58,1.16,1.36,4,1,2,140
375,Paul LaDue,12.78,0.69,0.01,0.02,2,0,0,0,0,1,0,0,0.01,0.0,0.0,0,0,0,1
376,Marcus Johansson,16.13,105.63,12.87,8.73,183,29,18,26,27,93,39,13,3.31,4.88,4.67,1,5,3,145
377,Joey Keane,13.63,1.33,0.04,0.08,2,0,0,0,1,2,0,0,0.04,0.0,0.0,0,0,0,2
378,Chris Tierney,12.41,73.13,9.39,5.47,121,18,7,23,34,53,35,12,1.57,4.58,3.22,0,3,3,100
379,Braden Schneider,15.48,28.25,1.08,1.67,65,11,1,7,20,39,3,0,0.77,0.32,0.0,1,1,0,42
380,Garnet Hathaway,13.39,114.8,14.44,8.55,197,26,6,23,20,96,45,18,3.64,5.53,5.27,3,6,5,159
381,Jon Merrill,17.11,56.77,2.2,3.34,118,20,2,6,21,78,5,0,1.69,0.51,0.0,3,1,0,83
382,Michael Dal Colle,14.57,1.39,0.08,0.09,2,0,0,0,1,2,0,0,0.08,0.0,0.0,0,0,0,2
383,Tim Stutzle,18.41,180.78,25.97,13.89,314,58,16,38,51,141,69,31,5.68,7.91,12.38,4,7,11,241
384,Sam Gagner,13.62,116.83,11.59,7.89,185,31,11,24,14,114,31,13,3.42,3.84,4.33,5,4,4,158
