,name,minutes/game,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_shotAttempts,I_F_points,I_F_rebounds,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_unblockedShotAttempts
492,Radim Zohorna,10.33,13.79,1.77,1.06,24,6,0,6,1,11,6,2,0.44,0.81,0.51,0,1,1,19
493,Matt Benning,16.34,52.61,2.0,2.98,114,11,4,8,33,76,3,0,1.62,0.37,0.0,0,0,0,79
494,Tage Thompson,17.88,250.54,26.09,17.35,457,68,22,49,42,246,84,18,8.14,10.06,7.9,16,15,7,348
495,Martin Fehervary,19.65,86.35,4.41,4.99,181,17,5,14,36,117,7,2,2.33,0.93,1.14,4,3,1,126
496,Rem Pitlick,14.96,62.0,9.85,5.46,94,37,6,31,39,40,29,13,1.75,3.97,4.13,2,6,7,82
497,Morgan Rielly,23.74,202.45,9.35,12.49,384,68,13,40,76,267,19,4,5.87,2.35,1.12,6,3,1,290
498,Joonas Donskoi,14.84,89.01,10.19,6.98,155,22,2,24,21,77,38,9,3.2,4.47,2.51,1,0,1,124
499,Alexander Edler,18.46,54.0,2.48,3.03,119,19,5,9,16,75,2,3,1.45,0.23,0.81,2,1,0,80
500,Logan Couture,18.93,188.45,23.25,13.78,314,56,16,62,31,176,57,27,6.11,7.19,9.95,7,5,11,260
501,Chris Wideman,14.88,69.75,2.72,4.19,148,27,3,13,57,94,5,1,1.86,0.57,0.29,4,0,0,100
502,Dylan DeMelo,18.5,66.16,3.48,3.82,141,13,7,17,49,92,4,2,1.9,0.53,1.03,1,0,0,98
503,Mattias Janmark,14.34,88.69,10.69,6.85,144,25,10,29,19,67,44,11,2.01,5.6,3.09,1,7,1,122
504,Kyle Criscuolo,9.56,4.76,0.33,0.3,10,2,0,0,0,6,1,0,0.24,0.1,0.0,0,0,0,7
505,Rasmus Andersson,22.68,146.77,8.14,10.24,289,50,16,24,44,194,13,7,4.25,1.5,2.39,2,2,0,214
506,Oliver Kylington,18.16,132.25,6.66,7.81,277,31,6,24,56,180,10,4,3.82,1.12,1.72,4,4,1,194
507,William Nylander,18.27,270.44,28.22,21.32,467,80,21,59,33,253,90,22,8.72,11.31,8.2,14,11,9,365
508,Kent Johnson,12.44,9.4,1.15,0.73,20,3,0,2,2,8,4,1,0.32,0.43,0.4,0,0,0,13
509,Urho Vaakanainen,19.32,26.1,1.18,1.38,55,6,0,7,8,36,1,1,0.62,0.18,0.38,0,0,0,38
510,Philip Tomasino,11.54,116.3,14.1,8.56,189,32,12,17,23,108,39,14,4.14,4.85,5.1,4,2,5,161
511,Markus Nutivaara,7.02,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
512,Dylan Samberg,14.85,15.67,0.51,0.85,28,5,0,6,11,22,1,0,0.43,0.08,0.0,0,0,0,23
513,Mason Shaw,8.99,6.41,0.32,0.41,10,0,0,3,1,8,1,0,0.22,0.11,0.0,0,0,0,9
514,Kole Sherwood,8.13,1.53,0.08,0.07,3,0,0,0,0,2,0,0,0.08,0.0,0.0,0,0,0,2
515,Guillaume Brisebois,4.22,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
516,Nicolas Roy,16.26,143.94,21.82,12.36,238,39,23,34,38,91,74,31,3.59,9.29,8.95,3,6,6,196
517,Mikael Backlund,17.12,206.81,18.8,13.08,355,39,19,55,44,210,64,14,6.5,7.59,4.71,6,3,3,288
518,Zach Sanford,14.3,122.34,13.5,9.86,209,21,11,36,22,110,42,15,3.79,5.11,4.6,4,2,3,167
519,Kevin Stenlund,7.53,2.4,0.19,0.16,4,0,0,1,0,2,1,0,0.04,0.15,0.0,0,0,0,3
520,Mason Geertsen,6.96,12.59,0.98,0.8,20,0,0,4,3,11,6,0,0.26,0.72,0.0,0,0,0,17
521,Jonas Siegenthaler,20.57,82.25,2.66,4.59,190,14,9,17,52,119,2,0,2.48,0.18,0.0,1,0,0,121
522,Brandon Biro,13.5,0.74,0.03,0.04,2,0,0,0,0,1,0,0,0.03,0.0,0.0,0,0,0,1
523,Greg McKegg,10.87,23.34,3.16,1.64,38,5,0,14,15,16,12,3,0.48,1.46,1.22,0,1,1,31
524,Mitchell Marner,20.88,228.85,26.51,16.07,420,97,13,72,63,209,75,31,6.48,8.97,11.06,8,11,16,315
525,Alexander Romanov,20.39,99.57,3.32,5.58,244,13,1,24,78,143,5,0,2.83,0.49,0.0,2,1,0,148
526,Steven Stamkos,18.48,236.56,26.74,16.9,401,106,12,30,24,215,87,21,8.02,10.03,8.69,18,14,10,323
527,Chase Priskie,14.0,3.5,0.23,0.2,7,0,0,1,4,4,1,0,0.13,0.1,0.0,0,0,0,5
528,Patrik Nemeth,16.63,53.04,2.4,3.24,114,7,2,11,18,71,6,1,1.35,0.83,0.22,2,0,0,78
529,Andrew Agozzino,6.87,0.72,0.03,0.04,1,0,0,0,0,1,0,0,0.03,0.0,0.0,0,0,0,1
530,Max McCormick,8.1,9.34,0.69,0.65,15,0,1,2,1,10,3,0,0.41,0.28,0.0,0,0,0,13
531,Cale Makar,25.67,218.64,15.02,14.71,494,86,21,49,40,283,24,12,6.8,2.68,5.54,17,3,8,319
532,Alex Killorn,18.7,168.02,23.13,14.43,273,59,9,42,30,117,84,23,4.39,10.35,8.4,4,14,7,224
533,Ben Jones,8.04,1.6,0.06,0.08,3,0,0,0,0,2,0,0,0.06,0.0,0.0,0,0,0,2
534,Colin White,15.34,46.09,5.96,4.08,72,10,3,4,10,33,19,8,1.09,2.44,2.43,1,1,1,60
535,Mitchell Chaffee,7.45,1.29,0.17,0.1,2,0,0,0,0,1,1,0,0.06,0.11,0.0,0,0,0,2
536,Artturi Lehkonen,15.1,155.91,19.43,11.76,269,38,13,18,16,129,57,27,4.0,7.28,8.15,4,6,9,213
537,Cody Ceci,20.9,96.36,3.3,4.95,213,28,3,15,39,132,5,1,2.6,0.43,0.27,2,2,1,138
538,Jack Quinn,14.88,4.25,0.31,0.28,9,2,0,1,0,5,1,0,0.21,0.11,0.0,1,0,0,6
539,Mathieu Joseph,14.2,93.03,11.36,6.85,150,30,2,45,20,72,42,11,2.79,5.25,3.32,3,5,4,125
540,Fabian Zetterlund,13.34,31.95,3.25,2.08,50,8,2,3,1,29,13,2,0.97,1.58,0.7,0,3,0,44
541,Max Pacioretty,17.38,150.29,15.06,10.13,262,37,9,15,23,153,34,17,4.8,4.07,6.19,7,5,7,204
542,Tanner Laczynski,9.45,0.0,0.0,0.0,1,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
543,Ryan Strome,18.33,157.81,17.26,11.74,257,54,10,32,37,136,64,16,3.97,7.62,5.67,8,8,5,216
544,Connor Mackey,13.58,4.95,0.25,0.33,8,1,0,1,1,6,1,0,0.15,0.1,0.0,0,0,0,7
545,Jeffrey Viel,8.8,28.44,3.45,2.19,52,5,4,13,9,22,14,3,0.83,1.67,0.95,1,2,0,39
546,Max Willman,11.77,59.92,4.61,3.78,100,6,4,14,8,60,18,2,1.81,2.13,0.67,0,3,1,80
547,Josh Leivo,9.23,10.62,1.31,0.77,14,3,1,0,1,10,1,3,0.33,0.09,0.89,0,1,0,14
548,Darren Helm,10.55,85.66,9.37,5.4,146,15,1,25,7,78,26,11,2.61,3.49,3.28,2,3,2,115
549,Jarred Tinordi,12.92,6.61,0.16,0.29,15,1,0,0,1,9,0,0,0.16,0.0,0.0,1,0,0,9
550,Dante Fabbro,19.05,88.27,3.52,5.08,189,24,7,22,35,126,4,1,2.6,0.43,0.49,3,0,0,131
551,Dylan Sikura,9.96,3.26,0.47,0.27,4,1,1,2,0,1,2,1,0.01,0.25,0.22,0,0,0,4
552,Sasha Chmelevski,13.18,35.84,2.41,2.06,60,8,4,8,3,42,6,1,1.32,0.82,0.27,0,0,0,49
553,Jaccob Slavin,23.53,164.26,8.67,9.96,341,42,9,74,43,219,14,4,5.04,1.79,1.84,2,0,2,237
554,Jake Neighbours,9.35,7.97,0.74,0.57,11,2,0,0,1,6,4,0,0.21,0.54,0.0,0,1,0,10
555,Daniel Sprong,12.99,160.27,14.0,10.88,269,20,11,20,24,169,42,9,6.0,5.22,2.78,7,4,3,220
556,Andreas Athanasiou,15.23,76.5,10.07,5.37,123,17,3,15,9,70,21,13,2.23,2.73,5.11,4,1,6,104
557,Sean Day,10.71,1.29,0.03,0.08,3,0,0,1,0,2,0,0,0.03,0.0,0.0,0,0,0,2
558,Trey Fix-Wolansky,6.29,5.95,0.45,0.35,9,2,0,2,3,5,3,0,0.14,0.32,0.0,0,1,0,8
559,Noah Gregor,14.94,154.13,14.36,10.17,263,23,11,28,14,153,47,10,4.75,5.88,3.73,1,4,3,210
560,Jayson Megna,10.31,17.74,1.94,1.17,32,3,1,8,1,16,5,2,0.58,0.68,0.68,0,0,0,23
561,Tyler Bertuzzi,19.88,183.3,26.52,15.23,306,62,13,42,57,137,76,33,4.97,9.6,11.94,9,11,10,246
562,Jacob Bernard-Docker,14.77,5.92,0.27,0.35,12,1,1,2,2,8,1,0,0.19,0.08,0.0,0,0,0,9
563,Jakub Voracek,17.46,136.35,11.89,9.74,253,62,9,44,51,142,41,7,4.77,5.12,2.0,5,1,0,190
564,Erik Karlsson,23.47,116.65,5.58,7.64,248,35,4,52,63,157,12,1,3.91,1.43,0.23,6,3,1,170
565,Alex Wennberg,17.85,85.88,9.41,6.42,152,37,7,45,37,81,31,7,2.6,4.01,2.8,3,5,3,119
566,Kevin Hayes,17.92,117.94,9.34,8.09,209,31,9,30,20,122,31,7,3.41,3.8,2.13,3,5,2,160
567,Cam Fowler,24.42,117.37,9.21,7.31,300,42,8,31,46,148,11,11,3.53,1.37,4.31,2,1,6,170
568,Matt Tennyson,12.91,5.3,0.17,0.31,11,3,1,1,7,8,0,0,0.17,0.0,0.0,0,0,0,8
569,Ian Mitchell,11.93,3.34,0.08,0.17,9,1,0,0,1,5,0,0,0.08,0.0,0.0,0,0,0,5
570,Patrice Bergeron,18.17,264.65,31.5,18.46,427,65,25,37,21,241,100,28,7.21,12.17,12.13,6,9,10,369
571,Tobias Bjornfot,16.76,53.09,2.58,3.2,110,8,2,10,30,67,8,0,1.62,0.96,0.0,0,0,0,75
572,Adam Brooks,8.95,14.27,1.63,1.13,21,3,0,3,3,12,4,2,0.47,0.59,0.57,1,0,1,18
573,Caleb Jones,18.74,80.41,3.99,5.12,165,21,2,26,43,107,8,1,2.58,1.04,0.37,2,2,1,116
574,Paul Cotter,8.81,9.79,0.89,0.62,17,2,0,1,0,10,4,0,0.36,0.53,0.0,0,2,0,14
575,Derek Forbort,18.12,60.08,2.0,3.1,132,14,5,15,32,87,2,1,1.59,0.21,0.2,3,1,0,90
576,Evgeni Malkin,18.33,115.04,14.65,9.16,203,42,13,41,48,105,35,18,3.79,4.24,6.62,6,7,7,158
577,Bowen Byram,18.81,49.67,2.72,3.15,102,17,4,14,11,64,7,1,1.62,0.86,0.24,2,3,0,72
578,Jacob MacDonald,10.09,15.85,1.33,1.23,26,0,3,0,2,19,2,1,0.78,0.25,0.3,0,0,0,22
579,Alex Newhook,13.56,103.61,10.86,7.51,203,33,6,20,13,100,36,7,3.89,4.28,2.69,3,6,4,143
580,Adam Pelech,21.28,93.82,4.76,5.92,225,28,9,49,48,126,9,2,2.83,1.1,0.83,2,1,0,137
581,Brendan Guhle,14.67,8.4,0.41,0.49,18,0,0,0,5,12,1,0,0.31,0.1,0.0,0,0,0,13
582,Riley Sheahan,12.04,64.45,6.54,4.58,109,17,4,18,12,60,22,7,1.85,2.71,1.97,1,1,2,89
583,Johnathan Kovacevic,10.81,6.2,0.19,0.31,13,0,0,0,6,8,1,0,0.11,0.08,0.0,0,0,0,9
584,Marc-Edouard Vlasic,15.22,65.92,2.38,3.94,145,14,6,17,31,95,3,1,1.81,0.32,0.24,3,0,0,99
585,Trevor van Riemsdyk,17.47,70.91,2.97,4.44,147,17,5,30,19,96,6,0,2.31,0.66,0.0,1,0,0,102
586,Nicholas Paul,16.51,175.52,18.75,12.12,303,32,13,59,32,163,59,18,5.87,7.36,5.52,6,6,4,240
587,Filip Chytil,13.18,139.69,14.47,10.31,231,22,12,23,28,132,43,13,4.44,5.48,4.55,3,4,1,188
588,Joel Eriksson Ek,18.58,209.09,27.48,16.29,331,49,16,30,12,168,75,34,4.91,9.5,13.08,3,8,15,277
589,Sam Lafferty,13.57,73.13,8.07,5.35,123,13,5,23,19,60,33,7,2.47,3.84,1.75,2,3,0,100
590,Kurtis MacDermid,7.4,43.58,2.68,2.75,89,5,6,5,12,55,6,2,1.34,0.67,0.68,2,0,0,63
591,Connor McDavid,22.07,298.7,42.51,24.2,481,123,27,73,68,213,126,54,7.34,15.46,19.71,8,14,22,393
592,Nicholas Robertson,10.27,12.53,0.65,0.73,21,1,3,3,4,16,1,0,0.56,0.09,0.0,0,1,0,17
593,Corey Perry,13.52,159.05,25.11,13.76,242,40,15,19,22,103,71,32,4.12,8.77,12.23,5,1,13,206
594,Chase Pearson,6.76,3.62,0.92,0.31,5,0,0,0,0,0,2,2,0.0,0.3,0.62,0,0,0,4
595,Marco Scandella,18.14,70.68,3.61,4.43,142,14,5,18,38,97,7,1,2.39,0.95,0.27,2,1,0,105
596,Conor Garland,16.39,192.63,18.45,13.91,331,52,17,50,36,196,56,14,6.97,6.56,4.93,9,6,4,266
597,Reilly Smith,17.78,148.74,18.73,10.74,250,38,11,29,42,118,63,18,4.04,7.67,7.02,4,6,6,199
598,Jordan Harris,16.28,7.24,0.36,0.44,15,1,2,3,8,10,1,0,0.26,0.1,0.0,1,0,0,11
599,Kurtis Gabriel,6.03,0.0,0.0,0.0,1,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
600,Scott Mayfield,19.78,85.15,3.55,5.0,202,18,4,15,53,118,4,3,2.23,0.37,0.94,1,1,1,125
601,Lassi Thomson,17.24,14.1,0.52,1.01,39,5,1,5,7,20,1,0,0.43,0.1,0.0,0,0,0,21
602,Derick Brassard,12.91,53.0,6.25,4.59,91,19,4,10,10,41,19,10,1.52,2.2,2.52,3,3,2,70
603,Tyler Myers,21.98,119.42,5.84,7.33,257,18,5,32,56,162,9,2,4.14,1.15,0.55,1,0,0,173
604,Jakub Vrana,14.93,66.99,5.94,4.57,107,19,2,12,16,65,21,4,2.23,2.6,1.12,6,6,1,90
605,Matt Kiersted,14.05,9.57,0.48,0.56,19,2,0,3,7,12,2,0,0.2,0.28,0.0,0,1,0,14
606,Linus Sandin,6.98,0.75,0.01,0.03,1,0,0,1,0,1,0,0,0.01,0.0,0.0,0,0,0,1
607,Jake Christiansen,9.77,5.6,0.25,0.36,11,1,0,0,0,7,1,0,0.17,0.09,0.0,1,0,0,8
608,Jonas Brodin,23.44,108.89,4.91,6.43,232,30,3,24,28,145,9,3,2.98,0.99,0.94,3,0,2,157
609,Dan Renouf,14.0,2.71,0.08,0.16,5,0,0,1,1,4,0,0,0.08,0.0,0.0,0,0,0,4
610,Nikita Kucherov,19.98,153.38,16.46,10.88,276,69,8,24,37,159,40,15,5.87,4.85,5.73,11,8,6,214
611,Ryan Suter,23.66,126.35,6.86,7.47,265,32,12,19,46,169,10,4,3.35,1.2,2.31,5,0,2,183
612,Steven Lorentz,10.89,84.56,11.09,6.58,142,13,8,24,17,61,38,14,1.93,4.9,4.26,0,4,4,113
613,Evan Bouchard,19.8,188.87,8.14,11.49,400,43,17,37,79,262,14,2,5.96,1.7,0.48,8,2,2,278
614,Isac Lundestrom,15.49,87.85,11.7,6.57,145,29,6,22,31,72,30,15,2.76,3.96,4.97,2,5,9,117
615,Taylor Raddysh,12.34,103.77,14.0,8.07,163,22,11,23,15,75,51,16,2.91,6.15,4.95,1,6,4,142
616,James Neal,11.96,26.21,2.46,2.26,45,4,2,2,4,24,13,0,0.84,1.63,0.0,0,2,0,37
617,Austin Watson,11.99,85.82,8.85,5.39,148,16,11,15,15,80,28,11,2.0,3.36,3.49,2,5,3,119
618,Maxim Mamin,11.9,52.15,7.9,4.13,81,14,10,9,19,29,26,11,1.3,3.43,3.17,3,1,3,66
619,Cedric Paquette,8.86,14.83,1.27,0.98,26,2,1,5,4,17,2,2,0.54,0.25,0.48,0,0,0,21
620,Arttu Ruotsalainen,11.89,20.49,1.9,1.21,37,4,2,5,0,20,6,2,0.56,0.79,0.56,0,1,1,28
621,Evgeny Svechnikov,10.76,69.56,7.67,5.12,123,19,7,24,28,58,36,5,2.1,4.24,1.32,1,6,0,99
622,Gabriel Vilardi,13.51,37.41,4.15,2.99,60,7,3,6,5,37,12,3,1.37,1.42,1.36,2,2,1,52
623,Michael Stone,17.46,22.86,1.09,1.3,59,6,0,1,4,33,0,1,0.48,0.0,0.61,1,0,1,34
624,Elias Pettersson,18.6,209.15,23.84,14.89,387,68,10,56,39,189,83,18,6.7,10.08,7.06,15,8,9,290
625,Will Borgen,15.28,44.2,1.5,2.48,97,8,4,4,14,63,3,0,1.22,0.28,0.0,2,0,0,66
626,Valtteri Puustinen,10.23,1.42,0.17,0.13,3,1,0,0,1,1,1,0,0.05,0.12,0.0,0,0,0,2
627,Alexei Toropchenko,10.72,44.2,4.63,3.28,66,2,4,5,5,35,22,2,1.44,2.71,0.48,0,2,0,59
628,Mark Pysyk,17.82,64.85,3.25,4.01,126,12,2,21,20,92,6,1,2.28,0.75,0.23,1,1,1,99
629,Kaapo Kakko,15.45,63.47,8.45,4.2,113,18,13,12,15,49,23,14,1.38,2.46,4.6,0,3,4,86
630,Vladislav Namestnikov,14.65,93.0,14.45,7.29,153,30,7,21,22,61,40,22,2.11,4.72,7.63,2,3,11,123
631,Trent Frederic,11.65,94.67,10.81,5.99,157,18,11,23,12,80,31,15,2.21,3.7,4.9,1,3,4,126
632,Carter Verhaeghe,16.03,171.57,21.11,13.04,312,55,13,63,47,127,87,18,4.78,10.57,5.76,8,12,4,232
633,Christian Dvorak,17.38,83.7,11.86,6.65,144,33,6,16,32,66,37,13,2.21,4.55,5.09,2,5,4,116
634,Gabriel Fortier,9.28,12.24,1.27,0.85,21,1,1,1,3,9,6,1,0.25,0.8,0.22,0,1,0,16
635,Jeff Malott,4.1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
636,Anders Bjork,12.04,46.15,4.08,3.27,93,8,4,16,11,45,18,1,1.58,2.3,0.2,0,5,0,64
637,John Moore,17.57,6.85,0.23,0.38,15,1,1,2,2,10,0,0,0.23,0.0,0.0,0,0,0,10
638,Justin Dowling,9.59,15.5,2.11,0.91,28,4,2,4,1,15,5,2,0.43,0.66,1.02,0,1,1,22
639,Tyson Jost,12.82,86.27,8.92,6.25,157,20,5,38,10,82,29,7,3.3,3.6,2.02,3,2,3,118
640,Lawson Crouse,17.43,131.93,14.97,10.15,224,34,11,29,23,117,51,15,3.78,6.11,5.08,4,11,5,183
641,Viktor Lodin,10.42,2.11,0.15,0.16,3,0,0,0,0,2,1,0,0.04,0.11,0.0,0,0,0,3
642,Nico Sturm,11.9,95.29,10.87,6.42,150,20,6,10,16,84,34,11,2.54,4.24,4.09,0,4,5,129
643,Mark Friedman,13.28,29.34,1.9,1.76,49,5,2,4,4,36,3,2,0.93,0.43,0.54,0,1,0,41
644,Jordan Kyrou,16.58,176.72,17.13,12.77,323,75,12,36,32,160,70,12,5.89,8.44,2.8,10,15,2,242
645,Richard Panik,14.92,4.94,0.67,0.4,10,1,0,1,1,4,4,0,0.19,0.48,0.0,0,0,0,8
646,Alex Ovechkin,20.57,339.93,36.37,22.72,642,90,18,32,50,365,67,36,11.72,7.8,16.84,19,10,21,468
647,Austin Poganski,9.32,10.43,1.1,0.8,19,0,0,1,1,12,3,1,0.49,0.38,0.24,0,0,0,16
648,Craig Smith,14.42,178.54,15.73,12.27,318,36,21,21,30,173,64,11,5.18,7.56,2.98,6,7,3,248
649,Dysin Mayo,20.92,72.39,2.7,4.12,158,12,5,14,39,100,6,0,2.04,0.66,0.0,3,1,0,106
650,Kris Russell,15.44,30.71,1.4,1.73,66,9,1,3,14,40,5,0,0.83,0.58,0.0,1,1,0,45
651,Ryan Donato,13.79,167.07,17.4,13.8,268,31,21,39,24,150,51,21,4.82,6.34,6.25,5,6,5,222
652,Elias Lindholm,19.94,223.87,27.52,18.09,381,82,15,55,41,184,103,23,6.67,12.35,8.51,15,19,8,310
653,Niko Mikkola,16.98,55.47,2.43,3.31,110,13,5,7,25,74,5,0,1.87,0.56,0.0,1,2,0,79
654,Conor Timmins,17.75,7.09,0.33,0.45,17,0,2,3,2,9,1,0,0.18,0.15,0.0,0,0,0,10
655,Oskar Sundqvist,14.0,65.77,7.84,4.53,117,23,4,12,25,62,16,11,2.31,1.95,3.58,2,1,5,89
656,Scott Perunovich,15.46,11.33,0.44,0.8,25,6,0,6,7,16,1,0,0.35,0.09,0.0,0,0,0,17
657,Joe Thornton,11.14,25.25,4.0,1.99,44,10,4,18,18,19,8,8,0.68,0.87,2.46,0,1,4,35
658,Jacob Perreault,11.08,1.54,0.21,0.1,2,0,0,0,1,1,1,0,0.03,0.18,0.0,0,0,0,2
659,Anthony Duclair,15.02,154.42,22.95,12.25,253,58,17,37,55,107,75,24,3.86,9.11,9.98,9,9,13,206
660,Bokondji Imama,4.52,2.44,0.48,0.26,4,1,0,0,1,1,1,1,0.04,0.16,0.28,0,0,1,3
661,Vladimir Tkachev,13.98,1.41,0.2,0.11,4,2,0,0,2,1,1,0,0.07,0.13,0.0,0,0,0,2
662,Marco Rossi,15.58,4.69,0.69,0.3,7,0,1,1,1,5,1,1,0.21,0.13,0.36,0,0,0,7
663,Colin Blackwell,11.93,71.59,7.71,4.69,126,20,6,18,17,62,22,12,1.71,2.61,3.4,1,4,5,96
664,Travis Hamonic,18.85,73.25,3.08,4.18,171,10,2,6,31,105,3,1,2.27,0.43,0.37,4,0,0,109
665,Anders Lee,16.63,164.86,24.07,13.93,266,46,22,16,25,130,63,35,4.54,7.74,11.79,6,12,10,228
666,Cooper Marody,6.07,0.48,0.1,0.05,1,1,0,1,0,0,1,0,0.0,0.1,0.0,0,0,0,1
667,Mason Marchment,14.12,126.13,18.11,9.61,207,47,13,25,17,90,54,20,3.48,7.29,7.35,4,8,6,164
668,Nick Ritchie,12.7,98.39,11.6,8.0,159,23,11,9,17,71,51,12,2.11,6.14,3.35,1,8,3,134
669,Egor Zamula,16.35,3.87,0.23,0.24,11,0,0,3,8,5,1,0,0.07,0.16,0.0,0,0,0,6
670,Rasmus Ristolainen,21.44,100.19,6.07,6.48,200,16,11,12,33,118,17,5,2.68,2.16,1.24,1,1,0,140
671,Nico Hischier,19.34,156.71,20.35,11.99,270,60,12,45,31,131,59,24,4.95,7.05,8.35,6,5,10,214
672,T.J. Oshie,17.45,78.44,11.66,6.05,138,25,8,19,18,73,27,13,2.16,3.41,6.09,4,2,5,113
673,Jan Jenik,10.68,21.66,1.84,1.64,35,3,4,1,3,21,7,1,0.62,0.94,0.28,0,1,1,29
674,Dylan Strome,17.44,115.07,15.46,8.47,183,48,3,47,22,91,49,16,3.78,5.86,5.82,8,9,5,156
675,Rhett Gardner,8.1,0.73,0.04,0.04,1,0,0,4,1,1,0,0,0.04,0.0,0.0,0,0,0,1
676,Matt Luff,9.41,25.02,2.48,1.81,43,6,2,3,3,23,8,3,0.62,1.1,0.76,0,1,2,34
677,Jacob Bryson,18.33,35.52,1.69,2.1,85,10,0,24,25,47,3,1,1.13,0.27,0.3,0,0,1,51
678,Mark Kastelic,9.18,14.31,1.46,1.12,22,4,0,9,5,11,6,2,0.4,0.58,0.48,1,1,0,19
679,Bryce Kindopp,6.1,1.39,0.05,0.08,3,0,0,0,0,2,0,0,0.05,0.0,0.0,0,0,0,2
680,Jonathan Toews,17.48,116.94,13.12,8.74,188,37,9,48,34,104,42,12,3.6,5.28,4.25,2,5,5,158
681,Shayne Gostisbehere,22.19,146.16,7.2,9.46,314,51,8,44,78,203,9,4,4.89,0.92,1.38,11,2,1,216
682,Ryan Merkley,15.38,30.06,0.88,1.7,85,6,1,13,28,42,2,0,0.63,0.26,0.0,1,0,0,44
683,Yegor Sharangovich,16.51,173.98,19.11,11.33,294,46,11,48,44,151,72,15,5.31,8.19,5.61,6,10,8,238
684,Jeremy Davies,12.25,4.86,0.18,0.26,9,2,0,2,5,7,0,0,0.18,0.0,0.0,0,0,0,7
685,Lucas Carlsson,12.71,39.42,1.96,2.51,85,9,6,7,12,55,3,0,1.6,0.36,0.0,3,0,0,58
686,Olli Juolevi,12.75,16.39,0.46,0.92,34,0,1,2,7,25,0,0,0.46,0.0,0.0,0,0,0,25
687,Jesper Froden,12.87,7.4,1.05,0.59,14,1,0,0,0,8,1,2,0.35,0.15,0.56,1,0,0,11
688,Blake Lizotte,12.16,88.6,9.7,5.98,141,24,10,31,10,78,34,10,2.79,3.96,2.94,3,4,3,122
689,Torey Krug,20.55,118.58,6.03,7.82,245,43,7,16,32,155,16,2,3.63,1.83,0.58,6,2,1,173
690,Oliver Ekman-Larsson,22.31,158.92,6.45,9.58,352,29,16,26,42,221,11,2,4.67,1.21,0.57,3,0,2,234
691,Sami Niku,15.28,11.29,0.29,0.76,27,6,0,2,5,17,0,0,0.29,0.0,0.0,0,0,0,17
692,Nicolas Beaudin,6.16,0.75,0.11,0.07,1,0,0,0,0,0,1,0,0.0,0.11,0.0,0,0,0,1
693,Kristian Reichel,10.4,17.4,1.82,1.2,30,2,3,7,1,15,6,2,0.39,0.66,0.77,1,0,0,23
694,Dougie Hamilton,21.22,200.98,11.35,12.24,402,30,12,20,54,249,30,6,6.02,3.36,1.97,3,4,2,285
695,Dennis Cholowski,15.81,13.46,0.5,0.85,33,3,0,1,5,19,1,0,0.39,0.11,0.0,0,0,0,20
696,Pat Maroon,12.4,106.78,12.86,8.38,156,27,9,16,17,79,44,14,2.59,5.65,4.61,3,3,5,137
697,Gavin Bayreuther,13.06,43.6,1.41,2.64,85,8,3,12,12,63,2,0,1.22,0.19,0.0,0,0,0,65
698,Carson Meyer,8.23,13.42,1.6,1.02,25,3,0,4,1,11,6,1,0.4,0.84,0.36,0,1,0,18
699,Devon Toews,25.37,139.78,9.33,8.65,267,57,10,45,34,175,18,9,3.96,2.32,3.04,6,3,4,202
700,Connor Brown,20.06,128.39,15.03,9.36,235,39,9,51,50,102,47,20,3.58,6.05,5.39,1,6,3,169
701,Kasperi Kapanen,14.53,131.64,11.13,8.85,235,32,14,40,30,129,45,4,4.52,5.6,1.01,3,7,1,178
702,Travis Sanheim,22.97,121.95,7.04,7.49,249,31,10,23,55,149,22,3,3.45,2.73,0.86,3,3,1,174
703,Troy Terry,18.24,195.51,24.77,14.36,327,67,15,35,46,165,71,28,6.55,8.73,9.5,10,17,10,264
704,David Savard,20.79,62.28,4.69,4.07,127,17,8,7,63,73,9,6,1.88,1.29,1.52,0,2,1,88
705,Jacob Trouba,22.42,189.86,10.69,12.07,388,39,23,24,63,244,23,10,5.03,2.5,3.16,7,2,2,277
706,Tyce Thompson,14.42,2.92,0.27,0.2,5,0,0,2,2,3,1,0,0.16,0.11,0.0,0,0,0,4
707,Jason Robertson,18.11,216.0,30.15,16.17,400,79,25,48,50,191,66,36,6.66,8.01,15.48,13,9,19,293
708,Jakub Galvas,18.16,6.51,0.29,0.45,17,0,1,1,4,10,0,0,0.29,0.0,0.0,0,0,0,10
709,Anthony Angello,6.63,1.54,0.05,0.08,2,0,0,0,0,2,0,0,0.05,0.0,0.0,0,0,0,2
